model_id,最长通路,总边数,比例,总节点数
random-000001,7,7,1,8
random-000002,6,6,1,7
random-000003,7,7,1,8
random-000004,6,6,1,7
random-000005,7,7,1,8
random-000006,7,11,0.636363636,11
random-000007,7,7,1,8
random-000008,7,7,1,8
random-000009,7,7,1,8
random-000010,7,7,1,8
random-000011,9,13,0.692307692,13
random-000012,6,6,1,7
random-000013,6,6,1,7
random-000014,6,6,1,7
random-000015,7,7,1,8
random-000016,6,6,1,7
random-000017,6,6,1,7
random-000018,6,6,1,7
random-000019,7,7,1,8
random-000020,7,7,1,8
random-000021,7,7,1,8
random-000022,7,7,1,8
random-000023,7,11,0.636363636,11
random-000024,6,6,1,7
random-000025,7,7,1,8
random-000026,7,7,1,8
random-000027,7,7,1,8
random-000028,6,6,1,7
random-000029,7,11,0.636363636,11
random-000030,7,7,1,8
random-000031,7,7,1,8
random-000032,9,13,0.692307692,13
random-000033,6,6,1,7
random-000034,7,7,1,8
random-000035,6,9,0.666666667,9
random-000036,6,6,1,7
random-000037,7,7,1,8
random-000038,7,7,1,8
random-000039,6,6,1,7
random-000040,7,7,1,8
random-000041,6,9,0.666666667,9
random-000042,6,6,1,7
random-000043,7,7,1,8
random-000044,7,7,1,8
random-000045,7,7,1,8
random-000046,6,6,1,7
random-000047,7,7,1,8
random-000048,8,16,0.5,15
random-000049,6,6,1,7
random-000050,6,6,1,7
random-000051,7,7,1,8
random-000052,7,7,1,8
random-000053,7,7,1,8
random-000054,6,6,1,7
random-000055,7,7,1,8
random-000056,6,6,1,7
random-000057,6,9,0.666666667,9
random-000058,6,6,1,7
random-000059,7,7,1,8
random-000060,7,7,1,8
random-000061,6,6,1,7
random-000062,6,6,1,7
random-000063,7,7,1,8
random-000064,6,6,1,7
random-000065,6,6,1,7
random-000066,7,7,1,8
random-000067,6,6,1,7
random-000068,7,7,1,8
random-000069,7,7,1,8
random-000070,6,6,1,7
random-000071,7,7,1,8
random-000072,7,7,1,8
random-000073,9,13,0.692307692,13
random-000074,7,11,0.636363636,11
random-000075,7,7,1,8
random-000076,6,6,1,7
random-000077,6,11,0.545454545,11
random-000078,6,6,1,7
random-000079,7,7,1,8
random-000080,7,7,1,8
random-000081,7,7,1,8
random-000082,6,6,1,7
random-000083,7,7,1,8
random-000084,7,7,1,8
random-000085,7,11,0.636363636,11
random-000086,9,13,0.692307692,13
random-000087,7,7,1,8
random-000088,6,6,1,7
random-000089,7,7,1,8
random-000090,7,7,1,8
random-000091,7,7,1,8
random-000092,7,7,1,8
random-000093,6,6,1,7
random-000094,7,7,1,8
random-000095,7,7,1,8
random-000096,7,7,1,8
random-000097,7,7,1,8
random-000098,7,7,1,8
random-000099,6,6,1,7
random-000100,7,7,1,8
random-000101,9,13,0.692307692,13
random-000102,6,6,1,7
random-000103,7,7,1,8
random-000104,6,6,1,7
random-000105,7,7,1,8
random-000106,6,6,1,7
random-000107,7,7,1,8
random-000108,6,6,1,7
random-000109,6,6,1,7
random-000110,7,7,1,8
random-000111,7,7,1,8
random-000112,6,6,1,7
random-000113,6,6,1,7
random-000114,7,11,0.636363636,11
random-000115,6,6,1,7
random-000116,6,9,0.666666667,9
random-000117,7,7,1,8
random-000118,7,7,1,8
random-000119,7,7,1,8
random-000120,6,9,0.666666667,9
random-000121,7,7,1,8
random-000122,7,7,1,8
random-000123,7,7,1,8
random-000124,6,6,1,7
random-000125,6,9,0.666666667,9
random-000126,6,6,1,7
random-000127,6,9,0.666666667,9
random-000128,7,7,1,8
random-000129,7,7,1,8
random-000130,9,13,0.692307692,13
random-000131,7,7,1,8
random-000132,7,7,1,8
random-000133,7,7,1,8
random-000134,7,7,1,8
random-000135,7,7,1,8
random-000136,7,7,1,8
random-000137,7,7,1,8
random-000138,6,6,1,7
random-000139,7,7,1,8
random-000140,7,7,1,8
random-000141,6,6,1,7
random-000142,7,7,1,8
random-000143,6,6,1,7
random-000144,7,7,1,8
random-000145,7,7,1,8
random-000146,7,7,1,8
random-000147,7,7,1,8
random-000148,6,6,1,7
random-000149,6,6,1,7
random-000150,7,7,1,8
random-000151,6,11,0.545454545,11
random-000152,8,12,0.666666667,12
random-000153,7,7,1,8
random-000154,7,7,1,8
random-000155,6,6,1,7
random-000156,7,7,1,8
random-000157,6,6,1,7
random-000158,7,7,1,8
random-000159,9,13,0.692307692,13
random-000160,7,7,1,8
random-000161,8,12,0.666666667,12
random-000162,7,7,1,8
random-000163,6,6,1,7
random-000164,7,7,1,8
random-000165,6,6,1,7
random-000166,7,7,1,8
random-000167,7,7,1,8
random-000168,7,7,1,8
random-000169,7,11,0.636363636,11
random-000170,7,7,1,8
random-000171,7,7,1,8
random-000172,7,7,1,8
random-000173,6,11,0.545454545,11
random-000174,6,6,1,7
random-000175,7,7,1,8
random-000176,7,7,1,8
random-000177,7,7,1,8
random-000178,6,6,1,7
random-000179,7,7,1,8
random-000180,7,7,1,8
random-000181,6,6,1,7
random-000182,7,7,1,8
random-000183,7,7,1,8
random-000184,8,12,0.666666667,12
random-000185,7,7,1,8
random-000186,7,7,1,8
random-000187,7,7,1,8
random-000188,7,7,1,8
random-000189,7,7,1,8
random-000190,7,7,1,8
random-000191,6,6,1,7
random-000192,7,7,1,8
random-000193,6,6,1,7
random-000194,6,6,1,7
random-000195,6,6,1,7
random-000196,7,7,1,8
random-000197,7,7,1,8
random-000198,7,11,0.636363636,11
random-000199,8,12,0.666666667,12
random-000200,6,6,1,7
random-000201,7,7,1,8
random-000202,7,7,1,8
random-000203,6,6,1,7
random-000204,6,6,1,7
random-000205,7,11,0.636363636,11
random-000206,8,12,0.666666667,12
random-000207,7,7,1,8
random-000208,6,6,1,7
random-000209,7,7,1,8
random-000210,7,7,1,8
random-000211,7,7,1,8
random-000212,6,6,1,7
random-000213,7,7,1,8
random-000214,6,6,1,7
random-000215,7,11,0.636363636,11
random-000216,7,7,1,8
random-000217,6,6,1,7
random-000218,6,6,1,7
random-000219,7,7,1,8
random-000220,7,7,1,8
random-000221,9,13,0.692307692,13
random-000222,7,7,1,8
random-000223,7,11,0.636363636,11
random-000224,6,6,1,7
random-000225,7,7,1,8
random-000226,6,6,1,7
random-000227,7,7,1,8
random-000228,6,6,1,7
random-000229,7,7,1,8
random-000230,7,7,1,8
random-000231,7,7,1,8
random-000232,7,7,1,8
random-000233,7,7,1,8
random-000234,7,7,1,8
random-000235,6,6,1,7
random-000236,7,7,1,8
random-000237,7,7,1,8
random-000238,7,7,1,8
random-000239,7,7,1,8
random-000240,9,13,0.692307692,13
random-000241,6,6,1,7
random-000242,6,6,1,7
random-000243,7,7,1,8
random-000244,6,6,1,7
random-000245,6,6,1,7
random-000246,6,6,1,7
random-000247,6,6,1,7
random-000248,6,10,0.6,10
random-000249,6,6,1,7
random-000250,7,7,1,8
random-000251,7,7,1,8
random-000252,6,6,1,7
random-000253,6,6,1,7
random-000254,7,7,1,8
random-000255,6,6,1,7
random-000256,6,6,1,7
random-000257,6,6,1,7
random-000258,6,6,1,7
random-000259,6,6,1,7
random-000260,6,6,1,7
random-000261,6,6,1,7
random-000262,7,7,1,8
random-000263,7,7,1,8
random-000264,7,7,1,8
random-000265,7,7,1,8
random-000266,7,7,1,8
random-000267,7,7,1,8
random-000268,6,6,1,7
random-000269,7,7,1,8
random-000270,7,7,1,8
random-000271,7,11,0.636363636,11
random-000272,6,6,1,7
random-000273,7,7,1,8
random-000274,6,6,1,7
random-000275,7,7,1,8
random-000276,6,6,1,7
random-000277,6,6,1,7
random-000278,6,6,1,7
random-000279,7,7,1,8
random-000280,7,7,1,8
random-000281,7,7,1,8
random-000282,7,7,1,8
random-000283,6,6,1,7
random-000284,6,6,1,7
random-000285,6,6,1,7
random-000286,6,6,1,7
random-000287,7,7,1,8
random-000288,6,6,1,7
random-000289,6,6,1,7
random-000290,6,6,1,7
random-000291,7,7,1,8
random-000292,7,7,1,8
random-000293,7,7,1,8
random-000294,7,7,1,8
random-000295,7,7,1,8
random-000296,6,6,1,7
