id,longest path,total edge,rate,total vertex
1,2,2,1,3
2,5,5,1,6
3,2,2,1,3
4,2,2,1,3
5,8,8,1,9
6,2,2,1,3
7,5,5,1,6
8,5,5,1,6
9,2,2,1,3
10,5,5,1,6
11,5,5,1,6
12,2,2,1,3
13,2,2,1,3
14,2,2,1,3
15,2,2,1,3
16,5,6,0.833333333,6
17,2,2,1,3
18,2,2,1,3
19,4,6,0.666666667,6
20,2,2,1,3
21,4,6,0.666666667,6
22,5,5,1,6
23,5,5,1,6
24,2,2,1,3
25,5,5,1,6
26,8,8,1,9
27,5,5,1,6
28,5,6,0.833333333,6
29,2,3,0.666666667,3
30,6,10,0.6,9
31,2,2,1,3
32,5,5,1,6
33,6,11,0.545454545,9
34,5,5,1,6
35,2,2,1,3
36,5,5,1,6
37,2,2,1,3
38,2,2,1,3
39,2,2,1,3
40,8,8,1,9
41,2,2,1,3
42,2,2,1,3
43,5,5,1,6
44,4,6,0.666666667,6
45,5,5,1,6
46,5,5,1,6
47,2,2,1,3
48,2,2,1,3
49,4,6,0.666666667,6
50,5,5,1,6
51,4,6,0.666666667,6
52,8,9,0.888888889,9
53,5,5,1,6
54,8,8,1,9
55,5,5,1,6
56,5,5,1,6
57,2,2,1,3
58,2,2,1,3
59,5,5,1,6
60,4,6,0.666666667,6
61,5,9,0.555555556,9
62,8,8,1,9
63,2,2,1,3
64,5,5,1,6
65,6,13,0.461538462,12
66,7,9,0.777777778,9
67,6,13,0.461538462,12
68,5,5,1,6
69,4,6,0.666666667,6
70,2,2,1,3
71,4,6,0.666666667,6
72,2,2,1,3
73,2,2,1,3
74,7,17,0.411764706,15
75,5,5,1,6
76,2,2,1,3
77,5,5,1,6
78,5,5,1,6
79,2,2,1,3
80,2,2,1,3
81,2,2,1,3
82,5,9,0.555555556,9
83,5,9,0.555555556,9
84,4,6,0.666666667,6
85,4,6,0.666666667,6
86,8,8,1,9
87,4,6,0.666666667,6
88,5,5,1,6
89,2,2,1,3
90,8,8,1,9
91,8,16,0.5,15
92,5,5,1,6
93,2,2,1,3
94,5,5,1,6
95,8,8,1,9
96,8,8,1,9
97,8,9,0.888888889,9
98,8,8,1,9
99,8,8,1,9
100,5,5,1,6
101,5,5,1,6
102,14,16,0.875,15
103,5,5,1,6
104,8,8,1,9
105,2,2,1,3
106,2,2,1,3
107,8,8,1,9
108,4,6,0.666666667,6
109,4,6,0.666666667,6
110,8,8,1,9
111,8,8,1,9
112,5,5,1,6
113,8,8,1,9
114,10,20,0.5,18
