id,longest path,total edge,rate,total vertex
1,17,17,1,18
2,17,17,1,18
3,17,17,1,18
4,17,17,1,18
5,17,17,1,18
6,17,17,1,18
7,18,18,1,19
8,18,18,1,19
9,18,18,1,19
10,18,18,1,19
11,18,18,1,19
12,18,18,1,19
13,18,18,1,19
14,18,18,1,19
15,18,18,1,19
16,18,18,1,19
17,18,18,1,19
18,18,18,1,19
19,18,18,1,19
20,18,18,1,19
21,18,18,1,19
22,18,18,1,19
23,18,18,1,19
24,18,18,1,19
25,18,18,1,19
26,18,18,1,19
27,18,18,1,19
28,18,18,1,19
29,18,18,1,19
30,18,18,1,19
31,18,18,1,19
32,18,18,1,19
33,18,18,1,19
34,18,18,1,19
35,18,18,1,19
36,18,18,1,19
37,18,18,1,19
38,18,18,1,19
39,18,18,1,19
40,18,18,1,19
41,18,18,1,19
42,18,18,1,19
43,18,18,1,19
44,18,18,1,19
45,18,18,1,19
46,18,18,1,19
47,18,18,1,19
48,18,18,1,19
49,18,18,1,19
50,18,18,1,19
51,18,18,1,19
52,18,18,1,19
53,18,18,1,19
54,18,18,1,19
55,18,18,1,19
56,18,18,1,19
57,18,18,1,19
58,18,18,1,19
59,18,18,1,19
60,18,18,1,19
61,18,18,1,19
62,18,18,1,19
63,18,18,1,19
64,18,18,1,19
65,18,18,1,19
66,18,18,1,19
67,18,18,1,19
68,18,18,1,19
69,18,18,1,19
70,18,18,1,19
71,18,18,1,19
72,18,18,1,19
73,18,18,1,19
74,18,18,1,19
75,18,18,1,19
76,18,18,1,19
77,18,18,1,19
78,18,18,1,19
79,18,18,1,19
80,18,18,1,19
81,18,18,1,19
82,18,18,1,19
83,18,18,1,19
84,18,18,1,19
85,18,18,1,19
86,18,18,1,19
87,18,18,1,19
88,18,18,1,19
89,18,18,1,19
90,16,16,1,17
91,16,16,1,17
92,16,16,1,17
93,16,16,1,17
94,16,16,1,17
95,16,16,1,17
96,16,16,1,17
97,16,16,1,17
98,16,16,1,17
99,16,16,1,17
100,16,16,1,17
101,16,16,1,17
102,16,16,1,17
103,16,16,1,17
104,16,16,1,17
105,16,16,1,17
106,16,16,1,17
107,16,16,1,17
108,16,16,1,17
109,16,16,1,17
110,16,16,1,17
111,16,16,1,17
112,16,16,1,17
113,16,16,1,17
114,16,16,1,17
115,16,16,1,17
116,16,16,1,17
117,16,16,1,17
118,16,16,1,17
119,16,16,1,17
120,16,16,1,17
121,16,16,1,17
122,16,16,1,17
123,16,16,1,17
124,16,16,1,17
125,16,16,1,17
126,16,16,1,17
127,16,16,1,17
128,16,16,1,17
129,16,16,1,17
130,16,16,1,17
131,16,16,1,17
132,16,16,1,17
133,17,17,1,18
134,17,17,1,18
135,17,17,1,18
136,17,17,1,18
137,17,17,1,18
138,17,17,1,18
139,17,17,1,18
140,17,17,1,18
141,17,17,1,18
142,17,17,1,18
143,17,17,1,18
144,17,17,1,18
145,17,17,1,18
146,17,17,1,18
147,17,17,1,18
148,17,17,1,18
149,17,17,1,18
150,17,17,1,18
151,17,17,1,18
152,17,17,1,18
153,17,17,1,18
154,17,17,1,18
155,17,17,1,18
156,17,17,1,18
157,17,17,1,18
158,17,17,1,18
159,17,17,1,18
160,17,17,1,18
161,17,17,1,18
162,17,17,1,18
163,17,17,1,18
164,17,17,1,18
165,17,17,1,18
166,17,17,1,18
167,17,17,1,18
168,17,17,1,18
169,17,17,1,18
170,17,17,1,18
171,17,17,1,18
172,17,17,1,18
173,17,17,1,18
174,17,17,1,18
175,17,17,1,18
176,17,17,1,18
177,17,17,1,18
178,17,17,1,18
179,17,17,1,18
180,17,17,1,18
181,17,17,1,18
182,17,17,1,18
183,17,17,1,18
184,17,17,1,18
185,17,17,1,18
186,20,20,1,21
187,20,20,1,21
188,20,20,1,21
189,20,20,1,21
190,20,20,1,21
191,20,20,1,21
192,20,20,1,21
193,20,20,1,21
194,20,20,1,21
195,20,20,1,21
196,20,20,1,21
197,17,17,1,18
198,17,17,1,18
199,17,17,1,18
200,20,20,1,21
201,20,20,1,21
202,20,20,1,21
203,20,20,1,21
204,20,20,1,21
205,20,20,1,21
206,20,20,1,21
207,20,20,1,21
208,20,20,1,21
209,20,20,1,21
210,20,20,1,21
211,20,20,1,21
212,20,20,1,21
213,17,17,1,18
214,17,17,1,18
215,17,17,1,18
216,17,17,1,18
217,17,17,1,18
218,17,17,1,18
219,17,17,1,18
220,17,17,1,18
221,17,17,1,18
222,17,17,1,18
223,17,17,1,18
224,17,17,1,18
225,17,17,1,18
226,17,17,1,18
227,17,17,1,18
228,17,17,1,18
229,17,17,1,18
230,17,17,1,18
231,17,17,1,18
232,17,17,1,18
233,17,17,1,18
234,17,17,1,18
235,17,17,1,18
236,17,17,1,18
237,17,17,1,18
238,17,17,1,18
239,17,17,1,18
240,17,17,1,18
241,17,17,1,18
242,17,17,1,18
243,17,17,1,18
244,17,17,1,18
245,17,17,1,18
246,17,17,1,18
247,17,17,1,18
248,17,17,1,18
249,17,17,1,18
250,17,17,1,18
251,17,17,1,18
252,17,17,1,18
253,17,17,1,18
254,17,17,1,18
255,17,17,1,18
256,17,17,1,18
257,17,17,1,18
258,17,17,1,18
259,17,17,1,18
260,17,17,1,18
261,17,17,1,18
262,17,17,1,18
263,17,17,1,18
264,17,17,1,18
265,17,17,1,18
266,17,17,1,18
267,17,17,1,18
268,17,17,1,18
269,17,17,1,18
270,17,17,1,18
271,17,17,1,18
272,17,17,1,18
273,17,17,1,18
274,17,17,1,18
275,17,17,1,18
276,17,17,1,18
277,17,17,1,18
278,17,17,1,18
279,17,17,1,18
280,17,17,1,18
281,17,17,1,18
282,17,17,1,18
283,17,17,1,18
284,17,17,1,18
285,17,17,1,18
286,17,17,1,18
287,17,17,1,18
288,17,17,1,18
289,17,17,1,18
290,17,17,1,18
291,17,17,1,18
292,17,17,1,18
293,17,17,1,18
294,17,17,1,18
295,17,17,1,18
296,17,17,1,18
297,17,17,1,18
298,17,17,1,18
299,17,17,1,18
300,17,17,1,18
301,17,17,1,18
302,17,17,1,18
303,17,17,1,18
304,17,17,1,18
305,17,17,1,18
306,17,17,1,18
307,17,17,1,18
308,17,17,1,18
309,17,17,1,18
310,17,17,1,18
311,17,17,1,18
312,17,17,1,18
313,17,17,1,18
314,17,17,1,18
315,17,17,1,18
316,17,17,1,18
317,17,17,1,18
318,17,17,1,18
319,17,17,1,18
320,17,17,1,18
321,17,17,1,18
322,17,17,1,18
323,17,17,1,18
324,17,17,1,18
325,17,17,1,18
326,17,17,1,18
327,17,17,1,18
