id,longest path,total edge,rate,total vertex
1,10,10,1,11
2,10,10,1,11
3,10,10,1,11
4,10,10,1,11
5,10,10,1,11
6,10,10,1,11
7,10,10,1,11
8,10,10,1,11
9,10,10,1,11
10,10,10,1,11
11,10,10,1,11
12,10,10,1,11
13,10,10,1,11
14,10,10,1,11
15,10,10,1,11
16,10,10,1,11
17,10,10,1,11
18,10,10,1,11
19,10,10,1,11
20,10,10,1,11
21,10,10,1,11
22,10,10,1,11
23,10,10,1,11
24,10,10,1,11
25,10,10,1,11
26,10,10,1,11
27,10,10,1,11
28,10,10,1,11
29,10,10,1,11
30,10,10,1,11
31,10,10,1,11
32,10,10,1,11
33,10,10,1,11
34,10,10,1,11
35,10,10,1,11
36,10,10,1,11
37,10,10,1,11
38,10,10,1,11
39,10,10,1,11
40,10,10,1,11
41,10,10,1,11
42,10,10,1,11
43,10,10,1,11
44,10,10,1,11
45,10,10,1,11
46,10,10,1,11
47,10,10,1,11
48,10,10,1,11
49,10,10,1,11
50,10,10,1,11
51,10,10,1,11
52,10,10,1,11
53,10,10,1,11
54,10,10,1,11
55,10,10,1,11
56,10,10,1,11
57,10,10,1,11
58,10,10,1,11
59,10,10,1,11
60,10,10,1,11
61,10,10,1,11
62,10,10,1,11
63,10,10,1,11
64,10,10,1,11
65,10,10,1,11
66,10,10,1,11
67,10,10,1,11
68,10,10,1,11
69,10,10,1,11
70,10,10,1,11
71,10,10,1,11
72,10,10,1,11
73,10,10,1,11
74,10,10,1,11
75,10,10,1,11
76,10,10,1,11
77,10,10,1,11
78,10,10,1,11
79,10,10,1,11
80,10,10,1,11
81,10,10,1,11
82,10,10,1,11
83,10,10,1,11
84,10,10,1,11
85,10,10,1,11
86,10,10,1,11
87,10,10,1,11
88,10,10,1,11
89,10,10,1,11
90,10,10,1,11
91,10,10,1,11
92,10,10,1,11
93,10,10,1,11
94,10,10,1,11
95,10,10,1,11
96,10,10,1,11
97,10,10,1,11
98,10,10,1,11
99,10,10,1,11
100,10,10,1,11
101,10,10,1,11
102,10,10,1,11
103,10,10,1,11
104,10,10,1,11
105,10,10,1,11
106,10,10,1,11
107,10,10,1,11
108,10,10,1,11
109,10,10,1,11
110,10,10,1,11
111,10,10,1,11
112,10,10,1,11
113,10,10,1,11
114,10,10,1,11
115,10,10,1,11
116,10,10,1,11
117,10,10,1,11
118,10,10,1,11
119,10,10,1,11
120,10,10,1,11
121,10,10,1,11
122,10,10,1,11
123,10,10,1,11
124,10,10,1,11
125,10,10,1,11
126,10,10,1,11
127,10,10,1,11
128,10,10,1,11
129,10,10,1,11
130,10,10,1,11
131,10,10,1,11
132,10,10,1,11
133,10,10,1,11
134,10,10,1,11
135,10,10,1,11
136,10,10,1,11
137,10,10,1,11
138,10,10,1,11
139,10,10,1,11
140,10,10,1,11
141,10,10,1,11
142,10,10,1,11
143,10,10,1,11
144,10,10,1,11
145,10,10,1,11
146,10,10,1,11
147,10,10,1,11
148,10,10,1,11
149,10,10,1,11
150,10,10,1,11
151,10,10,1,11
152,10,10,1,11
153,10,10,1,11
154,10,10,1,11
155,10,10,1,11
156,10,10,1,11
157,10,10,1,11
158,10,10,1,11
159,10,10,1,11
160,10,10,1,11
161,10,10,1,11
162,10,10,1,11
163,10,10,1,11
164,10,10,1,11
165,10,10,1,11
166,10,10,1,11
167,10,10,1,11
168,10,10,1,11
169,10,10,1,11
170,10,10,1,11
171,10,10,1,11
172,10,10,1,11
173,10,10,1,11
174,10,10,1,11
175,10,10,1,11
176,10,10,1,11
177,10,10,1,11
178,10,10,1,11
179,10,10,1,11
180,10,10,1,11
181,10,10,1,11
182,10,10,1,11
183,10,10,1,11
184,10,10,1,11
185,10,10,1,11
186,10,10,1,11
187,10,10,1,11
188,10,10,1,11
189,10,10,1,11
190,10,10,1,11
191,10,10,1,11
192,10,10,1,11
193,10,10,1,11
194,10,10,1,11
195,10,10,1,11
196,10,10,1,11
197,10,10,1,11
198,10,10,1,11
199,10,10,1,11
200,10,10,1,11
201,10,10,1,11
202,10,10,1,11
203,10,10,1,11
204,10,10,1,11
205,10,10,1,11
206,10,10,1,11
207,10,10,1,11
208,10,10,1,11
209,10,10,1,11
210,10,10,1,11
211,10,10,1,11
212,10,10,1,11
213,10,10,1,11
214,10,10,1,11
215,10,10,1,11
216,10,10,1,11
217,10,10,1,11
218,10,10,1,11
219,10,10,1,11
220,10,10,1,11
221,11,11,1,12
222,11,11,1,12
223,11,11,1,12
224,11,11,1,12
225,11,11,1,12
226,11,11,1,12
227,11,11,1,12
228,11,11,1,12
229,11,11,1,12
230,11,11,1,12
231,11,11,1,12
232,11,11,1,12
233,11,11,1,12
234,11,11,1,12
235,11,11,1,12
236,11,11,1,12
237,11,11,1,12
238,11,11,1,12
239,11,11,1,12
240,11,11,1,12
241,11,11,1,12
242,11,11,1,12
243,11,11,1,12
244,11,11,1,12
245,11,11,1,12
246,11,11,1,12
247,11,11,1,12
248,11,11,1,12
249,11,11,1,12
250,11,11,1,12
251,11,11,1,12
252,11,11,1,12
253,11,11,1,12
254,11,11,1,12
255,11,11,1,12
256,11,11,1,12
257,11,11,1,12
258,11,11,1,12
259,11,11,1,12
260,11,11,1,12
261,11,11,1,12
262,11,11,1,12
263,11,11,1,12
264,11,11,1,12
265,11,11,1,12
266,11,11,1,12
267,11,11,1,12
268,11,11,1,12
269,11,11,1,12
270,11,11,1,12
271,11,11,1,12
272,11,11,1,12
273,11,11,1,12
274,11,11,1,12
275,11,11,1,12
276,11,11,1,12
277,11,11,1,12
278,11,11,1,12
279,11,11,1,12
280,11,11,1,12
281,11,11,1,12
282,11,11,1,12
283,11,11,1,12
284,11,11,1,12
285,11,11,1,12
286,11,11,1,12
287,11,11,1,12
288,11,11,1,12
289,11,11,1,12
290,11,11,1,12
291,11,11,1,12
292,11,11,1,12
293,11,11,1,12
294,11,11,1,12
295,11,11,1,12
296,11,11,1,12
297,11,11,1,12
298,11,11,1,12
299,11,11,1,12
300,11,11,1,12
301,11,11,1,12
302,11,11,1,12
303,11,11,1,12
304,11,11,1,12
305,11,11,1,12
306,11,11,1,12
307,11,11,1,12
308,11,11,1,12
309,11,11,1,12
310,11,11,1,12
311,11,11,1,12
312,11,11,1,12
313,11,11,1,12
314,11,11,1,12
315,11,11,1,12
316,11,11,1,12
317,11,11,1,12
318,11,11,1,12
319,11,11,1,12
320,11,11,1,12
321,11,11,1,12
322,11,11,1,12
323,11,11,1,12
324,11,11,1,12
325,11,11,1,12
326,11,11,1,12
327,11,11,1,12
328,11,11,1,12
329,11,11,1,12
330,10,10,1,11
331,10,10,1,11
332,10,10,1,11
333,10,10,1,11
334,10,10,1,11
335,10,10,1,11
336,10,10,1,11
337,10,10,1,11
338,10,10,1,11
339,10,10,1,11
340,10,10,1,11
341,10,10,1,11
342,10,10,1,11
343,10,10,1,11
344,10,10,1,11
345,10,10,1,11
346,10,10,1,11
347,10,10,1,11
348,10,10,1,11
349,10,10,1,11
350,10,10,1,11
351,10,10,1,11
352,10,10,1,11
353,10,10,1,11
354,10,10,1,11
355,10,10,1,11
356,10,10,1,11
357,10,10,1,11
358,10,10,1,11
359,11,11,1,12
360,11,11,1,12
361,11,11,1,12
362,11,11,1,12
363,11,11,1,12
364,11,11,1,12
365,11,11,1,12
366,11,11,1,12
367,11,11,1,12
368,11,11,1,12
369,11,11,1,12
370,11,11,1,12
371,11,11,1,12
372,11,11,1,12
373,11,11,1,12
374,11,11,1,12
375,11,11,1,12
376,9,9,1,10
377,9,9,1,10
378,9,9,1,10
379,9,9,1,10
380,9,9,1,10
381,9,9,1,10
382,9,9,1,10
383,9,9,1,10
384,9,9,1,10
385,9,9,1,10
386,9,9,1,10
387,9,9,1,10
388,9,9,1,10
389,9,9,1,10
390,9,9,1,10
391,9,9,1,10
392,9,9,1,10
393,9,9,1,10
394,9,9,1,10
395,9,9,1,10
396,9,9,1,10
397,9,9,1,10
398,9,9,1,10
399,9,9,1,10
400,9,9,1,10
401,9,9,1,10
402,9,9,1,10
403,9,9,1,10
404,9,9,1,10
405,9,9,1,10
406,9,9,1,10
407,9,9,1,10
408,9,9,1,10
409,9,9,1,10
410,9,9,1,10
411,9,9,1,10
412,9,9,1,10
413,9,9,1,10
