id,longest path,total edge,rate,total vertex
1,5,5,1,6
2,5,5,1,6
3,5,5,1,6
4,5,5,1,6
5,5,5,1,6
6,5,5,1,6
7,5,5,1,6
8,5,5,1,6
9,5,5,1,6
10,5,5,1,6
11,5,5,1,6
12,5,5,1,6
13,5,5,1,6
14,5,5,1,6
15,5,5,1,6
16,5,5,1,6
17,5,5,1,6
18,5,5,1,6
19,5,5,1,6
20,5,5,1,6
21,5,5,1,6
22,5,5,1,6
23,5,5,1,6
24,5,5,1,6
25,5,5,1,6
26,5,5,1,6
27,5,5,1,6
28,5,5,1,6
29,5,5,1,6
30,5,5,1,6
31,5,5,1,6
32,5,5,1,6
33,5,5,1,6
34,5,5,1,6
35,5,5,1,6
36,5,5,1,6
37,5,5,1,6
38,5,5,1,6
39,5,5,1,6
40,5,5,1,6
41,5,5,1,6
42,5,5,1,6
43,5,5,1,6
44,5,5,1,6
45,5,5,1,6
46,5,5,1,6
47,5,5,1,6
48,5,5,1,6
49,5,5,1,6
50,5,5,1,6
51,5,5,1,6
52,5,5,1,6
53,5,5,1,6
54,5,5,1,6
55,5,5,1,6
56,5,5,1,6
57,5,5,1,6
58,5,5,1,6
59,5,5,1,6
60,5,5,1,6
61,5,5,1,6
62,5,5,1,6
63,5,5,1,6
64,5,5,1,6
65,5,5,1,6
66,5,5,1,6
67,5,5,1,6
68,5,5,1,6
69,5,5,1,6
70,5,5,1,6
71,5,5,1,6
72,5,5,1,6
73,5,5,1,6
74,5,5,1,6
75,5,5,1,6
76,6,6,1,7
77,6,6,1,7
78,6,6,1,7
79,6,6,1,7
80,6,6,1,7
81,6,6,1,7
82,6,6,1,7
83,6,6,1,7
84,6,6,1,7
85,6,6,1,7
86,6,6,1,7
87,6,6,1,7
88,6,6,1,7
89,6,6,1,7
90,6,6,1,7
91,6,6,1,7
92,6,6,1,7
93,6,6,1,7
94,6,6,1,7
95,6,6,1,7
96,6,6,1,7
97,6,6,1,7
98,6,6,1,7
99,6,6,1,7
100,6,6,1,7
101,6,6,1,7
102,6,6,1,7
103,6,6,1,7
104,6,6,1,7
105,6,6,1,7
106,6,6,1,7
107,6,6,1,7
108,6,6,1,7
109,6,6,1,7
110,6,6,1,7
111,6,6,1,7
112,6,6,1,7
113,6,6,1,7
114,6,6,1,7
115,6,6,1,7
116,6,6,1,7
117,6,6,1,7
118,6,6,1,7
119,6,6,1,7
120,6,6,1,7
121,6,6,1,7
122,6,6,1,7
123,6,6,1,7
124,6,6,1,7
125,6,6,1,7
126,6,6,1,7
127,6,6,1,7
128,6,6,1,7
129,6,6,1,7
130,6,6,1,7
131,6,6,1,7
132,6,6,1,7
133,6,6,1,7
134,6,6,1,7
135,6,6,1,7
136,6,6,1,7
137,6,6,1,7
138,6,6,1,7
139,6,6,1,7
140,6,6,1,7
141,6,6,1,7
142,6,6,1,7
143,6,6,1,7
144,6,6,1,7
145,6,6,1,7
146,6,6,1,7
147,6,6,1,7
148,6,6,1,7
149,6,6,1,7
150,5,5,1,6
151,5,5,1,6
152,5,5,1,6
153,5,5,1,6
154,5,5,1,6
155,5,5,1,6
156,5,5,1,6
157,5,5,1,6
158,5,5,1,6
159,5,5,1,6
160,5,5,1,6
161,5,5,1,6
162,5,5,1,6
163,5,5,1,6
164,5,5,1,6
165,5,5,1,6
166,5,5,1,6
167,5,5,1,6
168,5,5,1,6
169,6,6,1,7
170,6,6,1,7
171,6,6,1,7
172,6,6,1,7
173,6,6,1,7
174,6,6,1,7
175,6,6,1,7
176,6,6,1,7
177,6,6,1,7
178,6,6,1,7
179,6,6,1,7
180,6,6,1,7
181,6,6,1,7
182,6,6,1,7
183,6,6,1,7
184,6,6,1,7
185,6,6,1,7
186,6,6,1,7
187,6,6,1,7
188,6,6,1,7
189,6,6,1,7
190,6,6,1,7
191,6,6,1,7
192,6,6,1,7
193,6,6,1,7
194,6,6,1,7
195,6,6,1,7
196,6,6,1,7
197,6,6,1,7
198,6,6,1,7
199,6,6,1,7
200,6,6,1,7
201,6,6,1,7
202,4,4,1,5
203,4,4,1,5
204,4,4,1,5
205,4,4,1,5
206,4,4,1,5
207,4,4,1,5
208,4,4,1,5
209,4,4,1,5
210,4,4,1,5
211,4,4,1,5
212,4,4,1,5
213,4,4,1,5
214,4,4,1,5
215,4,4,1,5
216,4,4,1,5
217,4,4,1,5
218,4,4,1,5
219,4,4,1,5
220,4,4,1,5
221,4,4,1,5
222,4,4,1,5
223,4,4,1,5
224,4,4,1,5
225,4,4,1,5
226,4,4,1,5
227,4,4,1,5
228,4,4,1,5
229,4,4,1,5
230,4,4,1,5
231,4,4,1,5
232,4,4,1,5
233,4,4,1,5
234,4,4,1,5
235,4,4,1,5
236,4,4,1,5
237,4,4,1,5
238,4,4,1,5
239,4,4,1,5
240,4,4,1,5
241,4,4,1,5
242,4,4,1,5
243,4,4,1,5
244,4,4,1,5
245,4,4,1,5
246,4,4,1,5
247,4,4,1,5
248,4,4,1,5
249,4,4,1,5
250,4,4,1,5
251,4,4,1,5
252,4,4,1,5
253,4,4,1,5
254,4,4,1,5
255,4,4,1,5
256,4,4,1,5
257,4,4,1,5
258,4,4,1,5
259,4,4,1,5
260,4,4,1,5
261,4,4,1,5
262,4,4,1,5
263,4,4,1,5
264,4,4,1,5
265,4,4,1,5
266,4,4,1,5
267,4,4,1,5
268,8,8,1,9
269,8,8,1,9
270,8,8,1,9
271,8,8,1,9
272,8,8,1,9
273,8,8,1,9
274,8,8,1,9
275,8,8,1,9
276,8,8,1,9
277,8,8,1,9
278,8,8,1,9
279,8,8,1,9
280,8,8,1,9
281,8,8,1,9
282,8,8,1,9
283,8,8,1,9
284,8,8,1,9
285,8,8,1,9
286,8,8,1,9
287,8,8,1,9
288,8,8,1,9
289,8,8,1,9
290,8,8,1,9
291,8,8,1,9
292,8,8,1,9
293,8,8,1,9
294,8,8,1,9
295,8,8,1,9
296,8,8,1,9
297,8,8,1,9
298,8,8,1,9
299,8,8,1,9
300,8,8,1,9
301,8,8,1,9
302,8,8,1,9
303,8,8,1,9
304,8,8,1,9
305,8,8,1,9
306,8,8,1,9
307,8,8,1,9
308,8,8,1,9
309,8,8,1,9
310,8,8,1,9
311,8,8,1,9
312,8,8,1,9
313,8,8,1,9
314,8,8,1,9
315,8,8,1,9
316,5,5,1,6
317,5,5,1,6
318,5,5,1,6
319,5,5,1,6
320,5,5,1,6
321,5,5,1,6
322,5,5,1,6
323,5,5,1,6
324,5,5,1,6
325,5,5,1,6
326,5,5,1,6
327,5,5,1,6
328,5,5,1,6
329,5,5,1,6
330,5,5,1,6
331,5,5,1,6
332,5,5,1,6
333,5,5,1,6
334,5,5,1,6
335,5,5,1,6
336,5,5,1,6
337,5,5,1,6
338,5,5,1,6
339,5,5,1,6
340,5,5,1,6
341,5,5,1,6
