model_id,longest path,total vertex
cifar10-000001,8,8
cifar10-000002,8,8
cifar10-000003,8,8
cifar10-000004,8,8
cifar10-000005,8,8
cifar10-000006,8,8
cifar10-000007,8,11
cifar10-000008,8,8
cifar10-000009,8,8
cifar10-000010,10,14
cifar10-000011,8,8
cifar10-000012,8,11
cifar10-000013,8,8
cifar10-000014,8,8
cifar10-000015,7,7
cifar10-000016,7,7
cifar10-000017,8,8
cifar10-000018,7,7
cifar10-000019,8,8
cifar10-000020,9,13
cifar10-000021,8,8
cifar10-000022,9,13
cifar10-000023,10,14
cifar10-000024,10,14
cifar10-000025,8,8
cifar10-000026,8,11
cifar10-000027,7,7
cifar10-000028,8,8
cifar10-000029,8,8
cifar10-000030,7,7
cifar10-000031,8,8
cifar10-000032,8,8
cifar10-000033,7,7
cifar10-000034,8,11
cifar10-000035,9,12
cifar10-000036,7,7
cifar10-000037,8,8
cifar10-000038,7,7
cifar10-000039,8,12
cifar10-000040,7,7
cifar10-000041,8,8
cifar10-000042,7,7
cifar10-000043,9,12
cifar10-000044,8,8
cifar10-000045,8,8
cifar10-000046,10,14
cifar10-000047,8,8
cifar10-000048,7,7
cifar10-000049,8,8
cifar10-000050,8,8
cifar10-000051,7,7
cifar10-000052,8,8
cifar10-000053,8,8
cifar10-000054,7,7
cifar10-000055,8,8
cifar10-000056,8,8
cifar10-000057,8,8
cifar10-000058,8,8
cifar10-000059,8,8
cifar10-000060,8,8
cifar10-000061,8,8
cifar10-000062,8,8
cifar10-000063,8,8
cifar10-000064,8,8
cifar10-000065,10,14
cifar10-000066,8,8
cifar10-000067,8,8
cifar10-000068,8,8
cifar10-000069,8,8
cifar10-000070,10,14
cifar10-000071,10,14
cifar10-000072,8,8
cifar10-000073,7,7
cifar10-000074,7,7
cifar10-000075,7,7
cifar10-000076,8,8
cifar10-000077,8,8
cifar10-000078,8,8
cifar10-000079,8,8
cifar10-000080,8,8
cifar10-000081,8,8
cifar10-000082,8,8
cifar10-000083,8,8
cifar10-000084,7,7
cifar10-000085,7,7
cifar10-000086,8,8
cifar10-000087,8,8
cifar10-000088,8,8
cifar10-000089,8,8
cifar10-000090,8,11
cifar10-000091,7,7
cifar10-000092,7,7
cifar10-000093,8,8
cifar10-000094,8,8
cifar10-000095,8,11
cifar10-000096,8,8
cifar10-000097,8,8
cifar10-000098,8,8
cifar10-000099,8,8
cifar10-000100,8,8
cifar10-000101,9,12
cifar10-000102,8,8
cifar10-000103,8,8
cifar10-000104,8,8
cifar10-000105,8,8
cifar10-000106,8,10
cifar10-000107,8,8
cifar10-000108,8,8
cifar10-000109,8,8
cifar10-000110,8,8
cifar10-000111,7,7
cifar10-000112,8,8
cifar10-000113,7,7
cifar10-000114,8,8
cifar10-000115,8,8
cifar10-000116,8,8
cifar10-000117,8,8
cifar10-000118,8,8
cifar10-000119,8,8
cifar10-000120,8,8
cifar10-000121,8,8
cifar10-000122,7,7
cifar10-000123,7,7
cifar10-000124,8,8
cifar10-000125,8,8
cifar10-000126,8,8
cifar10-000127,8,8
cifar10-000128,7,7
cifar10-000129,8,14
cifar10-000130,8,8
cifar10-000131,8,11
cifar10-000132,8,8
cifar10-000133,8,8
cifar10-000134,7,10
cifar10-000135,8,8
cifar10-000136,10,14
cifar10-000137,8,8
cifar10-000138,8,8
cifar10-000139,8,8
cifar10-000140,8,8
cifar10-000141,8,8
cifar10-000142,6,10
cifar10-000143,7,7
cifar10-000144,8,8
cifar10-000145,7,7
cifar10-000146,8,8
cifar10-000147,7,9
cifar10-000148,8,8
cifar10-000149,8,8
cifar10-000150,8,8
cifar10-000151,7,7
cifar10-000152,7,10
cifar10-000153,7,7
cifar10-000154,8,14
cifar10-000155,8,8
cifar10-000156,8,8
cifar10-000157,10,14
cifar10-000158,8,8
cifar10-000159,8,8
cifar10-000160,8,8
cifar10-000161,7,7
cifar10-000162,7,7
cifar10-000163,8,8
cifar10-000164,8,11
cifar10-000165,7,7
cifar10-000166,7,7
cifar10-000167,9,13
cifar10-000168,8,8
cifar10-000169,8,8
cifar10-000170,8,8
cifar10-000171,7,7
cifar10-000172,8,11
cifar10-000173,8,8
cifar10-000174,8,8
cifar10-000175,8,8
cifar10-000176,8,8
cifar10-000177,7,7
cifar10-000178,8,8
cifar10-000179,8,8
cifar10-000180,8,8
cifar10-000181,8,8
cifar10-000182,9,13
cifar10-000183,8,8
cifar10-000184,8,8
cifar10-000185,8,8
cifar10-000186,10,14
cifar10-000187,7,7
cifar10-000188,8,8
cifar10-000189,8,8
cifar10-000190,7,7
cifar10-000191,8,8
cifar10-000192,7,7
cifar10-000193,9,13
cifar10-000194,8,8
cifar10-000195,9,13
