model_id,longest path,total vertex
fashion_mnist-000001,8,8
fashion_mnist-000002,8,8
fashion_mnist-000003,8,8
fashion_mnist-000004,7,7
fashion_mnist-000005,8,11
fashion_mnist-000006,8,11
fashion_mnist-000007,8,8
fashion_mnist-000008,8,8
fashion_mnist-000009,8,8
fashion_mnist-000010,8,8
fashion_mnist-000011,8,8
fashion_mnist-000012,8,8
fashion_mnist-000013,8,8
fashion_mnist-000014,8,8
fashion_mnist-000015,8,8
fashion_mnist-000016,8,8
fashion_mnist-000017,8,8
fashion_mnist-000018,7,7
fashion_mnist-000019,7,7
fashion_mnist-000020,8,8
fashion_mnist-000021,8,8
fashion_mnist-000022,7,7
fashion_mnist-000023,8,8
fashion_mnist-000024,8,11
fashion_mnist-000025,8,10
fashion_mnist-000026,7,7
fashion_mnist-000027,8,8
fashion_mnist-000028,8,8
fashion_mnist-000029,8,8
fashion_mnist-000030,8,8
fashion_mnist-000031,7,7
fashion_mnist-000032,8,8
fashion_mnist-000033,7,7
fashion_mnist-000034,8,8
fashion_mnist-000035,10,14
fashion_mnist-000036,8,8
fashion_mnist-000037,9,13
fashion_mnist-000038,7,7
fashion_mnist-000039,10,14
fashion_mnist-000040,10,17
fashion_mnist-000041,8,8
fashion_mnist-000042,7,7
fashion_mnist-000043,8,8
fashion_mnist-000044,7,7
fashion_mnist-000045,8,8
fashion_mnist-000046,10,14
fashion_mnist-000047,7,7
fashion_mnist-000048,7,7
fashion_mnist-000049,7,7
fashion_mnist-000050,7,10
fashion_mnist-000051,8,8
fashion_mnist-000052,8,8
fashion_mnist-000053,8,8
fashion_mnist-000054,7,7
fashion_mnist-000055,8,8
fashion_mnist-000056,8,11
fashion_mnist-000057,8,8
fashion_mnist-000058,8,8
fashion_mnist-000059,8,8
fashion_mnist-000060,8,8
fashion_mnist-000061,7,7
fashion_mnist-000062,8,11
fashion_mnist-000063,7,7
fashion_mnist-000064,7,7
fashion_mnist-000065,8,8
fashion_mnist-000066,7,7
fashion_mnist-000067,8,8
fashion_mnist-000068,8,8
fashion_mnist-000069,8,8
fashion_mnist-000070,8,8
fashion_mnist-000071,8,8
fashion_mnist-000072,8,8
fashion_mnist-000073,8,8
fashion_mnist-000074,8,8
fashion_mnist-000075,7,7
fashion_mnist-000076,9,13
fashion_mnist-000077,7,7
fashion_mnist-000078,8,8
fashion_mnist-000079,8,8
fashion_mnist-000080,10,14
fashion_mnist-000081,8,11
fashion_mnist-000082,8,8
fashion_mnist-000083,7,7
fashion_mnist-000084,8,8
fashion_mnist-000085,8,11
fashion_mnist-000086,8,8
fashion_mnist-000087,8,8
fashion_mnist-000088,8,8
fashion_mnist-000089,8,10
fashion_mnist-000090,8,8
fashion_mnist-000091,8,8
fashion_mnist-000092,8,8
fashion_mnist-000093,8,11
fashion_mnist-000094,8,8
fashion_mnist-000095,7,7
fashion_mnist-000096,8,8
fashion_mnist-000097,8,8
fashion_mnist-000098,8,8
fashion_mnist-000099,7,11
fashion_mnist-000100,7,7
