model_id,longest path,total vertex
imagenet-000001,7,7
imagenet-000002,7,7
imagenet-000003,7,7
imagenet-000004,8,11
imagenet-000005,8,8
imagenet-000006,7,7
imagenet-000007,7,7
imagenet-000008,8,8
imagenet-000009,8,8
imagenet-000010,7,7
imagenet-000011,7,7
imagenet-000012,8,8
imagenet-000013,8,8
imagenet-000014,8,11
imagenet-000015,8,11
imagenet-000016,7,7
imagenet-000017,7,7
imagenet-000018,10,14
imagenet-000019,9,13
imagenet-000020,7,7
imagenet-000021,7,10
imagenet-000022,8,8
imagenet-000023,7,7
imagenet-000024,8,8
imagenet-000025,7,7
imagenet-000026,8,8
imagenet-000027,8,8
imagenet-000028,8,8
imagenet-000029,8,8
imagenet-000030,8,8
imagenet-000031,8,8
imagenet-000032,8,8
imagenet-000033,7,7
imagenet-000034,8,8
imagenet-000035,8,8
imagenet-000036,8,11
imagenet-000037,8,8
imagenet-000038,7,10
imagenet-000039,10,14
imagenet-000040,8,8
imagenet-000041,8,8
imagenet-000042,8,8
imagenet-000043,7,7
imagenet-000044,8,8
imagenet-000045,8,11
imagenet-000046,9,12
imagenet-000047,7,7
imagenet-000048,10,14
imagenet-000049,8,8
imagenet-000050,8,8
imagenet-000051,8,8
imagenet-000052,8,8
imagenet-000053,8,11
imagenet-000054,7,7
imagenet-000055,7,7
imagenet-000056,8,8
imagenet-000057,8,11
imagenet-000058,8,8
imagenet-000059,8,8
imagenet-000060,7,7
imagenet-000061,7,7
imagenet-000062,8,8
imagenet-000063,8,8
imagenet-000064,8,8
imagenet-000065,7,7
imagenet-000066,8,8
imagenet-000067,10,14
imagenet-000068,7,7
imagenet-000069,8,8
imagenet-000070,8,11
imagenet-000071,8,8
imagenet-000072,7,7
imagenet-000073,7,7
imagenet-000074,7,11
imagenet-000075,7,7
imagenet-000076,8,8
imagenet-000077,7,7
imagenet-000078,7,9
imagenet-000079,8,8
imagenet-000080,8,8
imagenet-000081,8,8
imagenet-000082,8,8
imagenet-000083,7,7
imagenet-000084,9,13
imagenet-000085,8,8
imagenet-000086,8,8
imagenet-000087,8,8
imagenet-000088,8,11
imagenet-000089,8,8
imagenet-000090,7,7
imagenet-000091,7,7
imagenet-000092,8,8
imagenet-000093,7,7
imagenet-000094,8,8
imagenet-000095,7,7
imagenet-000096,7,10
imagenet-000097,7,9
imagenet-000098,8,8
