model_id,longest path,total vertex
mnist-000001,8,8
mnist-000002,7,9
mnist-000003,8,8
mnist-000004,7,7
mnist-000005,8,8
mnist-000006,8,11
mnist-000007,7,7
mnist-000008,8,8
mnist-000009,8,8
mnist-000010,8,8
mnist-000011,7,7
mnist-000012,8,8
mnist-000013,8,8
mnist-000014,8,8
mnist-000015,8,8
mnist-000016,8,8
mnist-000017,8,8
mnist-000018,7,7
mnist-000019,7,7
mnist-000020,8,8
mnist-000021,8,8
mnist-000022,8,8
mnist-000023,8,8
mnist-000024,8,8
mnist-000025,8,8
mnist-000026,8,8
mnist-000027,8,8
mnist-000028,8,8
mnist-000029,8,11
mnist-000030,8,8
mnist-000031,8,11
mnist-000032,10,14
mnist-000033,7,7
mnist-000034,7,7
mnist-000035,8,11
mnist-000036,8,8
mnist-000037,8,8
mnist-000038,9,13
mnist-000039,8,8
mnist-000040,7,7
mnist-000041,8,8
mnist-000042,8,8
mnist-000043,8,8
mnist-000044,7,7
mnist-000045,7,7
mnist-000046,7,7
mnist-000047,8,11
mnist-000048,8,8
mnist-000049,8,8
mnist-000050,8,8
mnist-000051,8,8
mnist-000052,8,8
mnist-000053,8,8
mnist-000054,7,7
mnist-000055,8,11
mnist-000056,8,8
mnist-000057,8,8
mnist-000058,8,8
mnist-000059,8,8
mnist-000060,8,8
mnist-000061,8,8
mnist-000062,7,10
mnist-000063,7,7
mnist-000064,7,7
mnist-000065,8,11
mnist-000066,7,7
mnist-000067,8,10
mnist-000068,7,7
mnist-000069,8,8
mnist-000070,7,7
mnist-000071,8,8
mnist-000072,8,8
mnist-000073,7,7
mnist-000074,8,8
mnist-000075,8,8
mnist-000076,7,7
mnist-000077,9,13
mnist-000078,7,7
mnist-000079,10,14
mnist-000080,8,8
mnist-000081,8,8
mnist-000082,8,8
mnist-000083,8,8
mnist-000084,8,8
mnist-000085,7,11
mnist-000086,7,7
mnist-000087,8,8
mnist-000088,8,8
mnist-000089,7,7
mnist-000090,8,8
mnist-000091,8,8
mnist-000092,8,8
mnist-000093,8,8
mnist-000094,7,7
mnist-000095,8,8
mnist-000096,10,14
mnist-000097,7,7
mnist-000098,7,7
mnist-000099,8,8
