model_id,longest path,total vertex
price-000001,8,8
price-000002,8,8
price-000003,7,7
price-000004,8,11
price-000005,7,7
price-000006,8,8
price-000007,8,11
price-000008,7,7
price-000009,8,8
price-000010,7,7
price-000011,8,8
price-000012,8,8
price-000013,8,8
price-000014,7,7
price-000015,8,11
price-000016,8,8
price-000017,7,7
price-000018,7,7
price-000019,7,7
price-000020,8,8
price-000021,8,8
price-000022,7,11
price-000023,7,7
price-000024,8,8
price-000025,7,7
price-000026,7,7
price-000027,8,8
price-000028,8,8
price-000029,7,10
price-000030,7,7
price-000031,9,13
price-000032,7,7
price-000033,8,8
price-000034,8,11
price-000035,7,7
price-000036,7,7
price-000037,7,7
price-000038,9,13
price-000039,8,8
price-000040,8,8
price-000041,8,8
price-000042,8,8
price-000043,10,14
price-000044,7,7
price-000045,7,7
price-000046,7,7
price-000047,8,11
price-000048,7,10
price-000049,8,11
price-000050,8,8
price-000051,7,7
price-000052,10,14
price-000053,7,7
price-000054,8,8
price-000055,8,11
price-000056,7,9
price-000057,7,7
price-000058,7,7
price-000059,7,7
price-000060,8,8
price-000061,7,7
price-000062,7,7
price-000063,7,7
price-000064,10,14
price-000065,8,8
price-000066,8,8
price-000067,7,7
price-000068,8,8
price-000069,10,14
price-000070,8,8
price-000071,8,8
price-000072,7,7
price-000073,7,7
price-000074,8,8
price-000075,7,7
price-000076,8,8
price-000077,7,7
price-000078,8,8
price-000079,7,7
price-000080,8,8
price-000081,7,7
price-000082,7,7
price-000083,7,7
price-000084,9,13
price-000085,7,7
price-000086,7,7
price-000087,8,8
price-000088,8,8
price-000089,8,8
price-000090,7,7
price-000091,7,7
price-000092,7,7
price-000093,7,7
price-000094,8,8
price-000095,8,8
price-000096,7,7
price-000097,8,8
price-000098,7,7
price-000099,8,8
price-000100,7,7
