model_id,longest path,total vertex
sinewave-000001,10,14
sinewave-000002,7,7
sinewave-000003,7,10
sinewave-000004,7,10
sinewave-000005,8,8
sinewave-000006,7,7
sinewave-000007,7,7
sinewave-000008,8,8
sinewave-000009,9,15
sinewave-000010,8,8
sinewave-000011,7,7
sinewave-000012,8,8
sinewave-000013,7,7
sinewave-000014,8,8
sinewave-000015,8,8
sinewave-000016,7,7
sinewave-000017,7,7
sinewave-000018,10,14
sinewave-000019,10,14
sinewave-000020,7,7
sinewave-000021,8,8
sinewave-000022,9,13
sinewave-000023,7,7
sinewave-000024,7,7
sinewave-000025,7,7
sinewave-000026,7,7
sinewave-000027,8,11
sinewave-000028,8,8
sinewave-000029,8,8
sinewave-000030,7,7
sinewave-000031,9,13
sinewave-000032,8,8
sinewave-000033,8,8
sinewave-000034,8,11
sinewave-000035,7,7
sinewave-000036,10,14
sinewave-000037,8,8
sinewave-000038,8,8
sinewave-000039,7,7
sinewave-000040,8,8
sinewave-000041,8,8
sinewave-000042,7,7
sinewave-000043,7,7
sinewave-000044,8,8
sinewave-000045,8,8
sinewave-000046,8,11
sinewave-000047,8,8
sinewave-000048,7,7
sinewave-000049,7,7
sinewave-000050,7,7
sinewave-000051,7,7
sinewave-000052,7,7
sinewave-000053,10,14
sinewave-000054,7,7
sinewave-000055,7,7
sinewave-000056,8,11
sinewave-000057,7,7
sinewave-000058,8,8
sinewave-000059,8,8
sinewave-000060,7,7
sinewave-000061,8,8
sinewave-000062,8,8
sinewave-000063,9,15
sinewave-000064,8,8
sinewave-000065,8,8
sinewave-000066,8,8
sinewave-000067,7,7
sinewave-000068,7,7
sinewave-000069,8,8
sinewave-000070,7,7
sinewave-000071,8,8
sinewave-000072,8,8
sinewave-000073,7,7
sinewave-000074,7,7
sinewave-000075,7,7
sinewave-000076,7,7
sinewave-000077,9,13
sinewave-000078,8,8
sinewave-000079,7,7
sinewave-000080,7,7
sinewave-000081,9,12
sinewave-000082,8,8
sinewave-000083,8,8
sinewave-000084,8,8
sinewave-000085,8,8
sinewave-000086,7,7
sinewave-000087,8,8
sinewave-000088,8,8
sinewave-000089,7,7
sinewave-000090,8,11
sinewave-000091,10,14
sinewave-000092,9,13
sinewave-000093,8,8
sinewave-000094,7,7
sinewave-000095,8,8
sinewave-000096,8,8
sinewave-000097,10,14
sinewave-000098,9,13
sinewave-000099,8,8
sinewave-000100,7,7
