model_id,model_result
cifar10-000001,1.1603037516276041e-05
cifar10-000002,1.6689300537109375e-05
cifar10-000003,1.2000401814778646e-05
cifar10-000004,3.7948290506998697e-06
cifar10-000005,1.5576680501302082e-05
cifar10-000006,1.5099843343098959e-05
cifar10-000007,8.62280527750651e-06
cifar10-000008,3.7948290506998697e-06
cifar10-000009,2.002716064453125e-05
cifar10-000010,4.4458235303560896e-06
cifar10-000011,5.451838175455729e-05
cifar10-000012,1.0808308919270834e-05
cifar10-000013,1.8278757731119793e-05
cifar10-000014,9.695688883463541e-06
cifar10-000015,1.4464060465494791e-05
cifar10-000016,1.1603037516276041e-05
cifar10-000017,5.265076955159505e-06
cifar10-000018,1.5576680501302082e-05
cifar10-000019,3.544489542643229e-05
cifar10-000020,3.556410471598307e-06
cifar10-000021,1.5576680501302082e-05
cifar10-000022,1.8278757731119793e-05
cifar10-000023,2.508362134297689e-06
cifar10-000024,2.438823382059733e-06
cifar10-000025,1.6848246256510418e-05
cifar10-000026,2.765655517578125e-05
cifar10-000027,2.7219454447428384e-06
cifar10-000028,3.337860107421875e-06
cifar10-000029,9.695688883463541e-06
cifar10-000030,2.948443094889323e-05
cifar10-000031,1.5735626220703125e-05
cifar10-000032,3.2062331835428872e-06
cifar10-000033,2.002716064453125e-05
cifar10-000034,1.804033915201823e-05
cifar10-000035,7.748603820800781e-06
cifar10-000036,2.7974446614583332e-05
cifar10-000037,1.3430913289388021e-05
cifar10-000038,2.806385358174642e-06
cifar10-000039,1.231829325358073e-06
cifar10-000040,3.337860107421875e-06
cifar10-000041,2.9007593790690103e-06
cifar10-000042,2.9007593790690103e-06
cifar10-000043,7.708867390950521e-06
cifar10-000044,1.9073486328125e-05
cifar10-000045,2.5590260823567707e-05
cifar10-000046,4.390875498453776e-06
cifar10-000047,1.5060106913248697e-05
cifar10-000048,1.5735626220703125e-05
cifar10-000049,9.934107462565104e-06
cifar10-000050,3.925959269205729e-05
cifar10-000051,9.854634602864584e-06
cifar10-000052,3.9637088775634766e-06
cifar10-000053,8.403013149897257e-06
cifar10-000054,1.5735626220703125e-05
cifar10-000055,3.337860107421875e-06
cifar10-000056,2.9007593790690103e-06
cifar10-000057,3.4968058268229165e-06
cifar10-000058,4.0531158447265625e-05
cifar10-000059,4.76837158203125e-05
cifar10-000060,2.1298726399739582e-05
cifar10-000061,2.9007593790690103e-06
cifar10-000062,1.4702479044596354e-05
cifar10-000063,2.002716064453125e-05
cifar10-000064,3.417332967122396e-06
cifar10-000065,6.159146626790364e-06
cifar10-000066,1.5974044799804688e-05
cifar10-000067,3.3577283223470053e-06
cifar10-000068,1.6689300537109375e-05
cifar10-000069,3.735224405924479e-05
cifar10-000070,2.5431315104166665e-06
cifar10-000071,9.338061014811197e-06
cifar10-000072,2.6861826578776043e-05
cifar10-000073,2.9007593790690103e-06
