model_id,model_result
fashion_mnist-000001,1.7484029134114582e-05
fashion_mnist-000002,2.2570292154947918e-05
fashion_mnist-000003,2.666314442952474e-05
fashion_mnist-000004,1.5179316202799479e-05
fashion_mnist-000005,2.2729237874348957e-05
fashion_mnist-000006,3.353754679361979e-05
fashion_mnist-000007,1.3987223307291666e-05
fashion_mnist-000008,1.6848246256510418e-05
fashion_mnist-000009,2.1457672119140625e-06
fashion_mnist-000010,3.417332967122396e-06
fashion_mnist-000011,2.4159749348958332e-05
fashion_mnist-000012,3.933906555175781e-06
fashion_mnist-000013,2.6464462280273438e-05
fashion_mnist-000014,4.604458808898926e-06
fashion_mnist-000015,4.013379414876302e-06
fashion_mnist-000016,9.834766387939453e-06
fashion_mnist-000017,1.6609827677408855e-05
fashion_mnist-000018,2.2570292154947918e-05
fashion_mnist-000019,1.9391377766927082e-05
fashion_mnist-000020,2.0821889241536457e-05
fashion_mnist-000021,1.1046727498372396e-05
fashion_mnist-000022,8.761882781982422e-06
fashion_mnist-000023,1.6530354817708332e-05
fashion_mnist-000024,1.4940897623697916e-05
fashion_mnist-000025,4.251797993977864e-06
fashion_mnist-000026,2.0186106363932293e-05
fashion_mnist-000027,1.3868014017740885e-05
fashion_mnist-000028,2.487500508626302e-05
fashion_mnist-000029,2.1139780680338543e-05
fashion_mnist-000030,2.2570292154947918e-05
fashion_mnist-000031,1.7404556274414062e-05
fashion_mnist-000032,1.6848246256510418e-05
fashion_mnist-000033,1.71661376953125e-05
fashion_mnist-000034,1.3987223307291666e-05
fashion_mnist-000035,4.023313522338867e-06
fashion_mnist-000036,2.4497509002685547e-05
fashion_mnist-000037,1.1285146077473959e-05
fashion_mnist-000038,1.9021332263946533e-05
fashion_mnist-000039,1.0172526041666666e-05
fashion_mnist-000040,7.050732771555583e-06
fashion_mnist-000041,2.1457672119140625e-06
fashion_mnist-000042,1.4066696166992188e-05
fashion_mnist-000043,5.717078844706218e-06
fashion_mnist-000044,1.4066696166992188e-05
fashion_mnist-000045,1.1523564656575521e-05
fashion_mnist-000046,2.0265579223632812e-05
fashion_mnist-000047,1.71661376953125e-05
fashion_mnist-000048,3.163019816080729e-05
fashion_mnist-000049,3.914038340250651e-06
fashion_mnist-000050,3.3179918924967447e-06
fashion_mnist-000051,2.1457672119140625e-05
fashion_mnist-000052,3.8941701253255206e-06
fashion_mnist-000053,2.1457672119140625e-06
fashion_mnist-000054,4.470348358154297e-06
fashion_mnist-000055,2.4318695068359375e-05
fashion_mnist-000056,2.2004048029581704e-06
fashion_mnist-000057,2.1139780680338543e-05
fashion_mnist-000058,2.0424524943033855e-05
fashion_mnist-000059,1.2079874674479166e-05
fashion_mnist-000060,1.3987223307291666e-05
fashion_mnist-000061,1.4543533325195312e-05
fashion_mnist-000062,3.3179918924967447e-06
fashion_mnist-000063,2.0662943522135418e-05
fashion_mnist-000064,1.71661376953125e-05
fashion_mnist-000065,3.4769376118977866e-06
fashion_mnist-000066,2.0543734232584637e-05
fashion_mnist-000067,3.83456548055013e-06
fashion_mnist-000068,3.5365422566731772e-06
fashion_mnist-000069,4.102786382039388e-06
fashion_mnist-000070,1.6689300537109375e-05
fashion_mnist-000071,1.815954844156901e-05
fashion_mnist-000072,3.6209821701049805e-06
fashion_mnist-000073,2.471605936686198e-05
fashion_mnist-000074,1.8278757731119793e-05
fashion_mnist-000075,1.621246337890625e-05
fashion_mnist-000076,1.5417734781901043e-05
fashion_mnist-000077,3.417332967122396e-06
fashion_mnist-000078,1.4861424763997396e-05
fashion_mnist-000079,4.823009173075358e-06
fashion_mnist-000080,1.8914540608723957e-05
fashion_mnist-000081,3.3179918924967447e-06
fashion_mnist-000082,2.1457672119140625e-06
fashion_mnist-000083,1.9073486328125e-05
fashion_mnist-000084,2.757708231608073e-05
fashion_mnist-000085,2.11795171101888e-05
fashion_mnist-000086,5.5034955342610674e-06
fashion_mnist-000087,1.7007191975911457e-05
fashion_mnist-000088,3.735224405924479e-06
fashion_mnist-000089,1.629193623860677e-05
fashion_mnist-000090,3.417332967122396e-06
fashion_mnist-000091,1.621246337890625e-05
fashion_mnist-000092,2.010663350423177e-05
fashion_mnist-000093,6.715456644694011e-06
fashion_mnist-000094,1.2556711832682291e-05
fashion_mnist-000095,1.6053517659505207e-05
fashion_mnist-000096,1.811981201171875e-05
fashion_mnist-000097,1.71661376953125e-05
fashion_mnist-000098,5.5114428202311196e-05
fashion_mnist-000099,9.695688883463541e-06
fashion_mnist-000100,2.125898996988932e-06
