model_id,model_result
mnist-000001,2.11795171101888e-05
mnist-000002,3.7501255671183267e-06
mnist-000003,4.78823979695638e-06
mnist-000004,1.7404556274414062e-05
mnist-000005,2.002716064453125e-05
mnist-000006,1.0331471761067709e-05
mnist-000007,1.8755594889322918e-05
mnist-000008,4.798173904418945e-06
mnist-000009,1.6689300537109375e-05
mnist-000010,1.7404556274414062e-05
mnist-000011,3.7451585133870444e-06
mnist-000012,1.2079874674479166e-05
mnist-000013,1.613299051920573e-05
mnist-000014,3.2981236775716147e-06
mnist-000015,2.4159749348958332e-05
mnist-000016,1.899401346842448e-05
mnist-000017,1.2653569380442301e-05
mnist-000018,1.7484029134114582e-05
mnist-000019,2.8808911641438803e-06
mnist-000020,1.7325083414713543e-05
mnist-000021,1.1761983235677084e-05
mnist-000022,4.76837158203125e-05
mnist-000023,2.4000803629557293e-05
mnist-000024,2.4557113647460938e-05
mnist-000025,2.5510787963867188e-05
mnist-000026,2.4318695068359375e-05
mnist-000027,2.8808911641438803e-06
mnist-000028,8.723388115564982e-06
mnist-000029,4.092852274576823e-06
mnist-000030,2.4636586507161457e-05
mnist-000031,1.5179316202799479e-05
mnist-000032,1.6848246256510418e-05
mnist-000033,1.613299051920573e-05
mnist-000034,1.1761983235677084e-05
mnist-000035,2.761681874593099e-06
mnist-000036,1.7881393432617188e-05
mnist-000037,1.4623006184895834e-05
mnist-000038,2.6250878969828286e-06
mnist-000039,3.3999482790629068e-06
mnist-000040,1.3987223307291666e-05
mnist-000041,3.715356190999349e-06
mnist-000042,2.6226043701171875e-05
mnist-000043,3.7749608357747397e-06
mnist-000044,1.823902130126953e-05
mnist-000045,1.2079874674479166e-05
mnist-000046,1.5735626220703125e-05
mnist-000047,1.4503796895345053e-05
mnist-000048,2.213319142659505e-05
mnist-000049,3.703435262044271e-05
mnist-000050,3.226598103841146e-05
mnist-000051,2.3365020751953125e-05
mnist-000052,2.0186106363932293e-05
mnist-000053,2.002716064453125e-05
mnist-000054,1.4861424763997396e-05
mnist-000055,3.993511199951172e-06
mnist-000056,5.185604095458984e-06
mnist-000057,1.915295918782552e-05
mnist-000058,2.304712931315104e-06
mnist-000059,2.8808911641438803e-06
mnist-000060,5.0067901611328125e-06
mnist-000061,1.1764466762542725e-05
mnist-000062,1.533826192220052e-05
mnist-000063,1.5417734781901043e-05
mnist-000064,3.457069396972656e-05
mnist-000065,1.6689300537109375e-05
mnist-000066,1.613299051920573e-05
mnist-000067,1.5497207641601562e-05
mnist-000068,2.4636586507161457e-05
mnist-000069,7.311503092447917e-06
mnist-000070,1.8795331319173176e-05
mnist-000071,2.002716064453125e-05
mnist-000072,1.7484029134114582e-05
mnist-000073,1.613299051920573e-05
mnist-000074,2.280871073404948e-05
mnist-000075,1.6530354817708332e-05
mnist-000076,2.8808911641438803e-06
mnist-000077,1.3748804728190104e-05
mnist-000078,5.662441253662109e-06
mnist-000079,2.851088841756185e-06
mnist-000080,2.296765645345052e-05
mnist-000081,1.5497207641601562e-05
mnist-000082,1.6609827677408855e-05
mnist-000083,1.6689300537109375e-05
mnist-000084,1.7960866292317707e-05
mnist-000085,1.5417734781901043e-05
mnist-000086,3.6427906403938928e-06
mnist-000087,6.874402364095052e-06
mnist-000088,1.7484029134114582e-05
mnist-000089,1.1761983235677084e-05
mnist-000090,1.0808308919270834e-05
mnist-000091,1.4553467432657877e-05
mnist-000092,1.7007191975911457e-05
mnist-000093,3.6160151163736978e-06
mnist-000094,1.6848246256510418e-05
mnist-000095,6.9588422775268555e-06
mnist-000096,2.851088841756185e-06
mnist-000097,3.635883331298828e-06
mnist-000098,1.8755594889322918e-05
mnist-000099,1.7484029134114582e-05
