model_id,model_result
price-000001,5.243221918741862e-05
price-000002,4.8925479253133135e-06
price-000003,2.3365020751953125e-05
price-000004,3.7789344787597656e-05
price-000005,5.793571472167969e-05
price-000006,6.4174334208170576e-06
price-000007,1.0967254638671875e-05
price-000008,5.165735880533854e-05
price-000009,6.24073048432668e-05
price-000010,2.1457672119140625e-05
price-000011,1.2079874674479166e-05
price-000012,5.793571472167969e-05
price-000013,1.2516975402832031e-05
price-000014,6.007154782613119e-05
price-000015,6.794929504394531e-06
price-000016,6.4174334208170576e-06
price-000017,6.007154782613119e-05
price-000018,5.261103312174479e-05
price-000019,2.1457672119140625e-05
price-000020,1.2079874674479166e-05
price-000021,4.8925479253133135e-06
price-000022,6.16610050201416e-05
price-000023,1.1165936787923178e-05
price-000024,2.3365020751953125e-05
price-000025,6.24073048432668e-05
price-000026,9.595354398091634e-05
price-000027,5.261103312174479e-05
price-000028,6.4174334208170576e-06
price-000029,2.0427008469899494e-05
price-000030,5.038579305013021e-05
price-000031,2.9802322387695312e-05
price-000032,4.7013163566589355e-05
price-000033,5.793571472167969e-05
price-000034,6.794929504394531e-06
price-000035,2.3111701011657715e-05
price-000036,5.793571472167969e-05
price-000037,6.4174334208170576e-06
price-000038,1.0053316752115885e-05
price-000039,6.007154782613119e-05
price-000040,1.2079874674479166e-05
price-000041,5.038579305013021e-05
price-000042,5.038579305013021e-05
price-000043,2.2858381271362305e-05
price-000044,6.007154782613119e-05
price-000045,1.2079874674479166e-05
price-000046,1.1165936787923178e-05
price-000047,5.868077278137207e-05
price-000048,2.0427008469899494e-05
price-000049,3.7789344787597656e-05
price-000050,6.007154782613119e-05
price-000051,6.4174334208170576e-06
price-000052,6.151199340820312e-05
price-000053,2.1457672119140625e-05
price-000054,6.4174334208170576e-06
price-000055,2.0427008469899494e-05
price-000056,1.0967254638671875e-05
price-000057,6.4174334208170576e-06
price-000058,6.4174334208170576e-06
price-000059,5.165735880533854e-05
price-000060,1.1165936787923178e-05
price-000061,6.22868537902832e-05
price-000062,5.793571472167969e-05
price-000063,4.8925479253133135e-06
price-000064,4.887580871582031e-06
price-000065,2.1457672119140625e-05
price-000066,5.793571472167969e-05
price-000067,6.4174334208170576e-06
price-000068,6.007154782613119e-05
price-000069,6.337960561116536e-06
price-000070,5.793571472167969e-05
price-000071,5.793571472167969e-05
price-000072,2.1457672119140625e-05
price-000073,4.7013163566589355e-05
price-000074,3.612041473388672e-05
price-000075,4.7013163566589355e-05
price-000076,4.609425862630208e-06
price-000077,6.4174334208170576e-06
price-000078,1.2079874674479166e-05
price-000079,5.793571472167969e-05
price-000080,5.038579305013021e-05
price-000081,5.165735880533854e-05
price-000082,4.583597183227539e-05
price-000083,6.4174334208170576e-06
price-000084,6.151199340820312e-05
price-000085,5.793571472167969e-05
price-000086,5.165735880533854e-05
price-000087,1.2079874674479166e-05
price-000088,5.165735880533854e-05
price-000089,3.727277119954427e-05
price-000090,6.007154782613119e-05
price-000091,1.1165936787923178e-05
price-000092,2.1457672119140625e-05
price-000093,6.007154782613119e-05
price-000094,6.4174334208170576e-06
price-000095,6.4174334208170576e-06
price-000096,6.4174334208170576e-06
price-000097,6.4174334208170576e-06
price-000098,6.4174334208170576e-06
price-000099,2.3365020751953125e-05
price-000100,6.007154782613119e-05
