model_id,model_result
sinewave-000001,8.58306884765625e-06
sinewave-000002,9.338061014811197e-06
sinewave-000003,2.115964889526367e-06
sinewave-000004,1.33514404296875e-05
sinewave-000005,1.5993913014729817e-06
sinewave-000006,6.516774495442708e-06
sinewave-000007,1.1722246805826822e-05
sinewave-000008,1.9391377766927082e-05
sinewave-000009,4.231929779052734e-06
sinewave-000010,6.2460700670878095e-06
sinewave-000011,1.7960866292317707e-05
sinewave-000012,2.5232632954915366e-06
sinewave-000013,2.5232632954915366e-06
sinewave-000014,6.2460700670878095e-06
sinewave-000015,3.039836883544922e-06
sinewave-000016,4.887580871582031e-06
sinewave-000017,1.2755393981933594e-05
sinewave-000018,5.3246815999348956e-06
sinewave-000019,2.175569534301758e-06
sinewave-000020,1.0172526041666666e-05
sinewave-000021,1.1722246805826822e-05
sinewave-000022,1.7007191975911457e-05
sinewave-000023,1.7960866292317707e-05
sinewave-000024,2.0265579223632812e-06
sinewave-000025,1.7012159029642742e-06
sinewave-000026,7.549921671549479e-07
sinewave-000027,2.2490819295247395e-05
sinewave-000028,1.1722246805826822e-05
sinewave-000029,1.1722246805826822e-05
sinewave-000030,9.338061014811197e-06
sinewave-000031,1.0649363199869791e-05
sinewave-000032,1.5993913014729817e-06
sinewave-000033,1.7960866292317707e-05
sinewave-000034,2.5331974029541016e-06
sinewave-000035,1.5993913014729817e-06
sinewave-000036,2.602736155192057e-06
sinewave-000037,6.516774495442708e-06
sinewave-000038,9.338061014811197e-06
sinewave-000039,1.7960866292317707e-05
sinewave-000040,1.7960866292317707e-05
sinewave-000041,1.2477238972981771e-05
sinewave-000042,1.1722246805826822e-05
sinewave-000043,1.7960866292317707e-05
sinewave-000044,1.5993913014729817e-06
sinewave-000045,1.1722246805826822e-05
sinewave-000046,2.115964889526367e-06
sinewave-000047,1.1722246805826822e-05
sinewave-000048,4.887580871582031e-06
sinewave-000049,3.039836883544922e-06
sinewave-000050,1.9391377766927082e-05
sinewave-000051,2.5232632954915366e-06
sinewave-000052,4.887580871582031e-06
sinewave-000053,2.175569534301758e-06
sinewave-000054,4.887580871582031e-06
sinewave-000055,1.1722246805826822e-05
sinewave-000056,2.2490819295247395e-05
sinewave-000057,3.039836883544922e-06
sinewave-000058,1.9391377766927082e-05
sinewave-000059,8.344650268554688e-06
sinewave-000060,1.7960866292317707e-05
sinewave-000061,1.7960866292317707e-05
sinewave-000062,1.1722246805826822e-05
sinewave-000063,2.3245811462402344e-06
sinewave-000064,1.7960866292317707e-05
sinewave-000065,3.039836883544922e-06
sinewave-000066,6.516774495442708e-06
sinewave-000067,3.039836883544922e-06
sinewave-000068,3.039836883544922e-06
sinewave-000069,1.7960866292317707e-05
sinewave-000070,9.338061014811197e-06
sinewave-000071,6.516774495442708e-06
sinewave-000072,2.7120113372802734e-06
sinewave-000073,1.7960866292317707e-05
sinewave-000074,7.361173629760742e-06
sinewave-000075,1.5993913014729817e-06
sinewave-000076,9.338061014811197e-06
sinewave-000077,2.602736155192057e-06
sinewave-000078,8.861223856608072e-06
sinewave-000079,1.7960866292317707e-05
sinewave-000080,9.338061014811197e-06
sinewave-000081,8.046627044677734e-06
sinewave-000082,7.549921671549479e-07
sinewave-000083,6.516774495442708e-06
sinewave-000084,1.7960866292317707e-05
sinewave-000085,1.5993913014729817e-06
sinewave-000086,3.039836883544922e-06
sinewave-000087,1.1722246805826822e-05
sinewave-000088,9.338061014811197e-06
sinewave-000089,8.861223856608072e-06
sinewave-000090,2.2490819295247395e-05
sinewave-000091,8.046627044677734e-06
sinewave-000092,7.271766662597656e-06
sinewave-000093,3.039836883544922e-06
sinewave-000094,9.338061014811197e-06
sinewave-000095,6.516774495442708e-06
sinewave-000096,4.887580871582031e-06
sinewave-000097,3.2683213551839194e-06
sinewave-000098,6.755193074544271e-07
sinewave-000099,1.5993913014729817e-06
sinewave-000100,2.7120113372802734e-06
