model_id,model_result
cifar10-000001,1.3430913289388021e-05
cifar10-000002,2.1855036417643228e-06
cifar10-000003,1.33514404296875e-05
cifar10-000004,1.3689200083414713e-05
cifar10-000005,1.3550122578938803e-05
cifar10-000006,1.3907750447591146e-05
cifar10-000007,1.811981201171875e-05
cifar10-000008,2.765655517578125e-05
cifar10-000009,1.2159347534179688e-05
cifar10-000010,1.5564262866973877e-05
cifar10-000011,7.232030232747395e-05
cifar10-000012,4.112720489501953e-06
cifar10-000013,2.5908152262369793e-05
cifar10-000014,2.0186106363932293e-05
cifar10-000015,1.4464060465494791e-05
cifar10-000016,1.990795135498047e-05
cifar10-000017,1.529852549235026e-05
cifar10-000018,2.642472585042318e-06
cifar10-000019,4.116694132486979e-05
cifar10-000020,3.571311632792155e-06
cifar10-000021,1.8477439880371094e-05
cifar10-000022,1.7881393432617188e-05
cifar10-000023,4.023313522338867e-06
cifar10-000024,1.7801920572916668e-05
cifar10-000025,2.09808349609375e-05
cifar10-000026,3.6656856536865234e-06
cifar10-000027,1.1444091796875e-05
cifar10-000028,1.911322275797526e-05
cifar10-000029,2.5987625122070312e-05
cifar10-000030,2.1696090698242188e-05
cifar10-000031,2.002716064453125e-05
cifar10-000032,1.8358230590820312e-05
cifar10-000033,4.698832829793294e-06
cifar10-000034,1.0947386423746744e-05
cifar10-000035,1.4543533325195312e-05
cifar10-000036,3.989537556966146e-05
cifar10-000037,1.8835067749023438e-05
cifar10-000038,1.5060106913248697e-05
cifar10-000039,2.6702880859375e-05
cifar10-000040,1.6927719116210938e-05
cifar10-000041,1.3073285420735678e-05
cifar10-000042,1.625219980875651e-05
cifar10-000043,1.5815099080403645e-05
cifar10-000044,1.4781951904296875e-05
cifar10-000045,4.5458475748697914e-05
cifar10-000046,3.2901763916015625e-05
cifar10-000047,3.1153361002604164e-05
cifar10-000048,2.2411346435546875e-05
cifar10-000049,2.2490819295247395e-05
cifar10-000050,3.321965535481771e-05
cifar10-000051,1.7484029134114582e-05
cifar10-000052,2.4080276489257812e-05
cifar10-000053,2.6464462280273438e-05
cifar10-000054,4.967053731282552e-06
cifar10-000055,7.773439089457193e-06
cifar10-000056,2.7219454447428384e-06
cifar10-000057,5.404154459635417e-06
cifar10-000058,6.9141387939453125e-06
cifar10-000059,2.761681874593099e-06
cifar10-000060,1.7484029134114582e-05
cifar10-000061,2.2252400716145832e-05
cifar10-000062,2.757708231608073e-05
cifar10-000063,1.895427703857422e-05
cifar10-000064,3.6557515462239585e-06
cifar10-000065,5.0266583760579424e-06
cifar10-000066,2.7338663736979168e-05
cifar10-000067,4.3233235677083336e-05
cifar10-000068,2.0424524943033855e-05
cifar10-000069,5.3087870279947914e-05
cifar10-000070,2.4080276489257812e-05
cifar10-000071,2.0821889241536457e-05
cifar10-000072,2.3523966471354168e-05
cifar10-000073,5.0763289133707685e-06
cifar10-000074,1.7007191975911457e-05
cifar10-000075,4.7230472167332964e-06
cifar10-000076,9.258588155110678e-06
cifar10-000077,2.002716064453125e-05
cifar10-000078,3.0835469563802086e-05
cifar10-000079,1.4225641886393229e-05
cifar10-000080,2.284844716389974e-05
cifar10-000081,2.652406692504883e-06
cifar10-000082,1.4146169026692709e-05
cifar10-000083,3.043810526529948e-05
cifar10-000084,1.7325083414713543e-05
cifar10-000085,2.376238505045573e-05
cifar10-000086,4.708766937255859e-06
cifar10-000087,2.7020772298177085e-06
cifar10-000088,4.8478444417317706e-06
cifar10-000089,1.521905263264974e-05
cifar10-000090,1.52587890625e-05
cifar10-000091,2.9961268107096355e-05
cifar10-000092,2.7338663736979168e-05
cifar10-000093,4.34120496114095e-06
cifar10-000094,1.6589959462483723e-06
cifar10-000095,1.7722447713216145e-05
cifar10-000096,4.0729840596516924e-06
cifar10-000097,4.498163859049479e-05
cifar10-000098,1.5815099080403645e-05
cifar10-000099,1.4384587605794271e-05
cifar10-000100,2.574920654296875e-05
cifar10-000101,5.125999450683594e-06
cifar10-000102,6.0192930201689405e-06
cifar10-000103,1.0460615158081055e-05
cifar10-000104,4.818042119344075e-06
cifar10-000105,3.854433695475261e-06
cifar10-000106,1.4146169026692709e-05
cifar10-000107,8.245309193929037e-06
cifar10-000108,4.1961669921875e-05
cifar10-000109,1.617272694905599e-05
cifar10-000110,2.8908252716064453e-06
cifar10-000111,1.1761983235677084e-05
cifar10-000112,2.3047129313151043e-05
cifar10-000113,1.5894571940104168e-05
cifar10-000114,4.6193599700927734e-06
cifar10-000115,1.049041748046875e-05
cifar10-000116,2.2411346435546875e-05
cifar10-000117,6.233031551043193e-06
cifar10-000118,3.946324189503987e-06
cifar10-000119,4.132588704427083e-06
cifar10-000120,1.6808509826660156e-05
cifar10-000121,1.8278757731119793e-05
cifar10-000122,1.6490618387858074e-05
cifar10-000123,2.5033950805664062e-05
cifar10-000124,4.947185516357422e-06
cifar10-000125,3.616015116373698e-05
cifar10-000126,2.9404958089192707e-05
cifar10-000127,2.5908152262369793e-05
cifar10-000128,2.5351842244466145e-05
cifar10-000129,1.5735626220703125e-05
cifar10-000130,1.2755393981933594e-05
cifar10-000131,8.23537508646647e-06
cifar10-000132,3.7749608357747397e-06
cifar10-000133,2.6226043701171875e-06
cifar10-000134,1.7325083414713543e-05
cifar10-000135,1.9311904907226562e-05
cifar10-000136,2.5351842244466145e-05
cifar10-000137,2.6384989420572918e-05
cifar10-000138,2.7219454447428384e-06
cifar10-000139,1.4821688334147135e-05
cifar10-000140,2.302726109822591e-05
cifar10-000141,1.529852549235026e-05
cifar10-000142,1.0172526041666666e-05
cifar10-000143,6.477038065592448e-06
cifar10-000144,2.6861826578776043e-05
cifar10-000145,4.082918167114258e-06
cifar10-000146,2.0886460940043133e-05
cifar10-000147,1.3669331868489584e-05
cifar10-000148,2.761681874593099e-06
cifar10-000149,2.2252400716145832e-05
cifar10-000150,2.404054005940755e-05
cifar10-000151,1.1761983235677084e-05
cifar10-000152,2.491474151611328e-05
cifar10-000153,3.993511199951172e-06
cifar10-000154,1.6689300537109375e-05
cifar10-000155,3.7585695584615074e-05
cifar10-000156,6.218751271565755e-06
cifar10-000157,1.4623006184895834e-05
cifar10-000158,2.4318695068359375e-05
cifar10-000159,3.695487976074219e-05
cifar10-000160,1.5179316202799479e-05
cifar10-000161,1.7404556274414062e-05
cifar10-000162,1.4662742614746094e-05
cifar10-000163,5.3723653157552086e-05
cifar10-000164,2.185503641764323e-05
cifar10-000165,2.0503997802734375e-05
cifar10-000166,4.246830940246582e-06
cifar10-000167,1.6371409098307293e-05
cifar10-000168,1.724561055501302e-05
cifar10-000169,1.724561055501302e-05
