model_id,model_result
fashion_mnist-000001,1.8835067749023438e-05
fashion_mnist-000002,2.672274907430013e-06
fashion_mnist-000003,3.703435262044271e-05
fashion_mnist-000004,1.8755594889322918e-05
fashion_mnist-000005,1.994768778483073e-05
fashion_mnist-000006,2.642472585042318e-06
fashion_mnist-000007,4.698832829793294e-06
fashion_mnist-000008,2.5232632954915366e-06
fashion_mnist-000009,1.6848246256510418e-05
fashion_mnist-000010,1.998742421468099e-05
fashion_mnist-000011,4.132588704427083e-06
fashion_mnist-000012,4.112720489501953e-06
fashion_mnist-000013,7.748603820800781e-06
fashion_mnist-000014,5.712111790974935e-06
fashion_mnist-000015,4.3710072835286456e-06
fashion_mnist-000016,3.0816843112309776e-05
fashion_mnist-000017,3.6756197611490884e-06
fashion_mnist-000018,2.8808911641438803e-06
fashion_mnist-000019,2.602736155192057e-06
fashion_mnist-000020,2.86102294921875e-05
fashion_mnist-000021,1.7762184143066406e-05
fashion_mnist-000022,8.225440979003906e-06
fashion_mnist-000023,1.9232432047526043e-05
fashion_mnist-000024,1.6729036966959637e-05
fashion_mnist-000025,4.291534423828125e-06
fashion_mnist-000026,4.311402638753255e-06
fashion_mnist-000027,2.430876096089681e-05
fashion_mnist-000028,2.9206275939941406e-06
fashion_mnist-000029,7.867813110351562e-06
fashion_mnist-000030,2.5510787963867188e-05
fashion_mnist-000031,2.4000803629557293e-05
fashion_mnist-000032,2.2252400716145832e-05
fashion_mnist-000033,1.5815099080403645e-05
fashion_mnist-000034,1.9073486328125e-05
fashion_mnist-000035,2.471605936686198e-05
fashion_mnist-000036,1.601378122965495e-05
fashion_mnist-000037,2.9864410559336343e-06
fashion_mnist-000038,1.8517176310221355e-05
fashion_mnist-000039,3.0547380447387695e-06
fashion_mnist-000040,1.7762184143066406e-05
fashion_mnist-000041,1.1006991068522135e-05
fashion_mnist-000042,1.1563301086425781e-05
fashion_mnist-000043,1.819928487141927e-05
fashion_mnist-000044,1.2675921122233072e-05
fashion_mnist-000045,2.185503641764323e-05
fashion_mnist-000046,1.5099843343098959e-05
fashion_mnist-000047,1.3510386149088542e-06
fashion_mnist-000048,5.766749382019043e-06
fashion_mnist-000049,1.0927518208821615e-05
fashion_mnist-000050,2.950429916381836e-06
fashion_mnist-000051,1.708666483561198e-05
fashion_mnist-000052,3.9736429850260414e-05
fashion_mnist-000053,2.2252400716145832e-05
fashion_mnist-000054,2.5828679402669272e-06
fashion_mnist-000055,4.0729840596516924e-06
fashion_mnist-000056,1.9788742065429688e-05
fashion_mnist-000057,4.23590342203776e-05
fashion_mnist-000058,2.5431315104166668e-05
fashion_mnist-000059,2.5331974029541016e-06
fashion_mnist-000060,1.815954844156901e-05
fashion_mnist-000061,1.1821587880452475e-05
fashion_mnist-000062,1.7642974853515625e-05
fashion_mnist-000063,2.8014183044433594e-06
fashion_mnist-000064,1.4901161193847656e-05
fashion_mnist-000065,5.2134195963541664e-05
fashion_mnist-000066,1.3490517934163412e-05
fashion_mnist-000067,1.5497207641601562e-05
fashion_mnist-000068,4.251797993977864e-06
fashion_mnist-000069,2.8312206268310547e-06
fashion_mnist-000070,2.6861826578776043e-05
fashion_mnist-000071,4.307428995768229e-05
fashion_mnist-000072,4.390875498453776e-06
fashion_mnist-000073,3.337860107421875e-05
fashion_mnist-000074,1.1079013347625732e-05
fashion_mnist-000075,1.2874603271484375e-05
fashion_mnist-000076,2.3444493611653645e-05
fashion_mnist-000077,3.168980280558268e-06
fashion_mnist-000078,2.3742516835530598e-05
fashion_mnist-000079,5.761782328287761e-06
fashion_mnist-000080,1.8835067749023438e-05
fashion_mnist-000081,1.2079874674479166e-05
fashion_mnist-000082,1.5099843343098959e-05
fashion_mnist-000083,1.6689300537109375e-05
fashion_mnist-000084,3.292163213094076e-05
fashion_mnist-000085,2.1616617838541668e-05
fashion_mnist-000086,1.1246030529340109e-05
fashion_mnist-000087,1.3629595438639322e-05
fashion_mnist-000088,2.5391578674316406e-05
fashion_mnist-000089,2.5033950805664062e-05
fashion_mnist-000090,1.9470850626627605e-05
fashion_mnist-000091,2.3285547892252605e-05
fashion_mnist-000092,2.8053919474283855e-05
fashion_mnist-000093,3.0517578125e-05
fashion_mnist-000094,3.812213738759359e-06
fashion_mnist-000095,2.9881795247395832e-05
fashion_mnist-000096,2.6623407999674478e-06
fashion_mnist-000097,1.6043583552042644e-06
fashion_mnist-000098,8.646647135416667e-05
fashion_mnist-000099,3.3060709635416664e-05
fashion_mnist-000100,1.4801820119222005e-06
