model_id,model_result
imagenet-000001,1.4146169026692709e-05
imagenet-000002,1.4464060465494791e-05
imagenet-000003,1.521905263264974e-05
imagenet-000004,1.9868214925130207e-05
imagenet-000005,7.723768552144369e-06
imagenet-000006,1.529852549235026e-05
imagenet-000007,2.6067097981770832e-05
imagenet-000008,1.6848246256510418e-05
imagenet-000009,4.943211873372396e-05
imagenet-000010,2.6226043701171875e-06
imagenet-000011,9.735425313313803e-06
imagenet-000012,2.5987625122070312e-05
imagenet-000013,6.000200907389323e-06
imagenet-000014,2.5232632954915366e-06
imagenet-000015,1.5179316202799479e-05
imagenet-000016,2.6226043701171875e-06
imagenet-000017,1.4464060465494791e-05
imagenet-000018,9.695688883463541e-06
imagenet-000019,1.708666483561198e-05
imagenet-000020,2.376238505045573e-05
imagenet-000021,3.1987826029459634e-06
imagenet-000022,1.515944798787435e-05
imagenet-000023,2.682209014892578e-06
imagenet-000024,0.0001436471939086914
imagenet-000025,2.4318695068359375e-05
imagenet-000026,1.6371409098307293e-05
imagenet-000027,2.106030782063802e-05
imagenet-000028,3.8941701253255206e-06
imagenet-000029,2.866610884666443e-06
imagenet-000030,9.854634602864584e-06
imagenet-000031,2.6464462280273438e-05
imagenet-000032,2.86102294921875e-06
imagenet-000033,2.5272369384765625e-05
imagenet-000034,2.5133291880289715e-05
imagenet-000035,2.2212664286295574e-05
imagenet-000036,1.9311904907226562e-05
imagenet-000037,2.11795171101888e-05
imagenet-000038,1.4066696166992188e-05
imagenet-000039,2.761681874593099e-06
imagenet-000040,1.4861424763997396e-05
imagenet-000041,3.914038340250651e-06
imagenet-000042,1.4543533325195312e-05
imagenet-000043,1.6768773396809895e-05
imagenet-000044,1.621246337890625e-05
imagenet-000045,3.0646721522013345e-06
imagenet-000046,1.6768773396809895e-05
imagenet-000047,1.8755594889322918e-05
imagenet-000048,2.2490819295247395e-05
imagenet-000049,1.235802968343099e-05
imagenet-000050,2.7020772298177085e-06
imagenet-000051,4.311402638753255e-06
imagenet-000052,2.1258989969889324e-05
imagenet-000053,9.298324584960938e-06
imagenet-000054,2.6384989420572918e-05
imagenet-000055,3.925959269205729e-05
imagenet-000056,1.430511474609375e-06
imagenet-000057,1.430511474609375e-05
imagenet-000058,2.692143122355143e-06
imagenet-000059,4.291534423828125e-05
imagenet-000060,4.798173904418945e-06
imagenet-000061,4.569689432779948e-06
imagenet-000062,2.4477640787760418e-05
imagenet-000063,2.6464462280273438e-05
imagenet-000064,1.8358230590820312e-05
imagenet-000065,2.6305516560872395e-05
imagenet-000066,5.2769978841145836e-05
imagenet-000067,1.5417734781901043e-05
imagenet-000068,2.0643075307210285e-05
imagenet-000069,1.915295918782552e-05
imagenet-000070,2.185503641764323e-05
imagenet-000071,4.976987838745117e-06
imagenet-000072,3.7829081217447914e-05
imagenet-000073,4.778305689493815e-06
imagenet-000074,1.994768778483073e-05
imagenet-000075,1.1444091796875e-05
imagenet-000076,5.515416463216146e-05
imagenet-000077,3.5921732584635414e-05
imagenet-000078,2.851088841756185e-06
imagenet-000079,2.388159434000651e-05
imagenet-000080,1.915295918782552e-05
imagenet-000081,1.4026959737141928e-05
imagenet-000082,1.3669331868489584e-05
imagenet-000083,2.6067097981770832e-05
imagenet-000084,1.9073486328125e-05
imagenet-000085,3.28222910563151e-05
imagenet-000086,5.145867665608724e-06
imagenet-000087,2.574920654296875e-05
imagenet-000088,1.0768572489420572e-05
imagenet-000089,1.708666483561198e-05
imagenet-000090,1.1642773946126303e-05
imagenet-000091,6.608820209900538e-06
imagenet-000092,4.212061564127604e-05
imagenet-000093,1.3470649719238281e-05
imagenet-000094,1.5020370483398438e-05
imagenet-000095,1.5695889790852864e-06
imagenet-000096,3.0040740966796875e-05
imagenet-000097,4.78823979695638e-06
imagenet-000098,4.7365824381510414e-05
