model_id,model_result
mnist-000001,3.4809112548828125e-05
mnist-000002,2.8848648071289062e-05
mnist-000003,1.1516114075978598e-05
mnist-000004,1.4106432596842447e-05
mnist-000005,1.2477238972981771e-05
mnist-000006,2.37425168355306e-06
mnist-000007,1.3907750447591146e-05
mnist-000008,1.2874603271484375e-05
mnist-000009,3.314018249511719e-05
mnist-000010,1.339117685953776e-05
mnist-000011,1.1603037516276041e-05
mnist-000012,2.7974446614583332e-05
mnist-000013,4.708766937255859e-06
mnist-000014,2.6543935139973957e-05
mnist-000015,8.145968119303385e-06
mnist-000016,2.0821889241536457e-05
mnist-000017,1.3073285420735678e-05
mnist-000018,2.0662943522135415e-06
mnist-000019,1.990795135498047e-05
mnist-000020,2.1457672119140625e-05
mnist-000021,2.6226043701171875e-06
mnist-000022,6.154179573059082e-06
mnist-000023,4.152456919352214e-06
mnist-000024,2.5431315104166668e-05
mnist-000025,8.185704549153646e-06
mnist-000026,3.993511199951172e-06
mnist-000027,1.1603037516276041e-05
mnist-000028,3.197789192199707e-05
mnist-000029,4.76837158203125e-06
mnist-000030,1.804033915201823e-05
mnist-000031,1.2556711832682291e-05
mnist-000032,1.5656153361002605e-05
mnist-000033,1.2318293253580729e-05
mnist-000034,1.6927719116210938e-05
mnist-000035,3.246466318766276e-05
mnist-000036,1.5099843343098959e-05
mnist-000037,2.6226043701171875e-05
mnist-000038,1.0291735331217447e-05
mnist-000039,2.4636586507161457e-05
mnist-000040,2.781550089518229e-06
mnist-000041,2.2570292154947918e-05
mnist-000042,2.574920654296875e-05
mnist-000043,2.4159749348958332e-05
mnist-000044,2.3206075032552082e-05
mnist-000045,2.392133076985677e-05
mnist-000046,2.870957056681315e-06
mnist-000047,1.4543533325195312e-05
mnist-000048,8.066495259602865e-06
mnist-000049,3.131230672200521e-05
mnist-000050,5.054473876953125e-05
mnist-000051,2.9881795247395832e-05
mnist-000052,2.2729237874348957e-05
mnist-000053,2.7020772298177085e-06
mnist-000054,2.3365020751953125e-05
mnist-000055,1.8596649169921875e-05
mnist-000056,2.1616617838541668e-05
mnist-000057,2.0503997802734375e-05
mnist-000058,2.761681874593099e-06
mnist-000059,2.642472585042318e-06
mnist-000060,2.396106719970703e-05
mnist-000061,3.1153361002604164e-05
mnist-000062,5.831321080525716e-06
mnist-000063,1.3560056686401367e-06
mnist-000064,1.0117888450622559e-05
mnist-000065,8.781750996907553e-06
mnist-000066,2.682209014892578e-06
mnist-000067,1.5616416931152344e-05
mnist-000068,3.608067830403646e-05
mnist-000069,4.084904988606771e-05
mnist-000070,2.3404757181803387e-05
mnist-000071,2.189477284749349e-05
mnist-000072,2.483526865641276e-06
mnist-000073,4.629294077555339e-06
mnist-000074,4.4624010721842446e-05
mnist-000075,1.5417734781901043e-05
mnist-000076,1.6689300537109375e-05
mnist-000077,1.613299051920573e-05
mnist-000078,2.6226043701171875e-05
mnist-000079,1.5020370483398438e-05
mnist-000080,4.2438507080078125e-05
mnist-000081,2.7338663736979168e-05
mnist-000082,3.238519032796224e-06
mnist-000083,5.141894022623698e-05
mnist-000084,2.642472585042318e-06
mnist-000085,2.5908152262369793e-05
mnist-000086,1.6053517659505207e-05
mnist-000087,6.453196207682292e-05
mnist-000088,1.982847849527995e-05
mnist-000089,1.5815099080403645e-05
mnist-000090,1.3808409372965495e-06
mnist-000091,2.274910608927409e-05
mnist-000092,3.7829081217447914e-05
mnist-000093,2.3682912190755207e-05
mnist-000094,1.4781951904296875e-05
mnist-000095,1.7881393432617188e-05
mnist-000096,3.3875306447347007e-06
mnist-000097,3.1019250551859536e-06
mnist-000098,1.0649363199869791e-05
mnist-000099,2.7219454447428384e-06
