model_id,model_result
price-000001,1.5974044799804688e-05
price-000002,1.1841456095377604e-05
price-000003,1.2556711832682291e-05
price-000004,1.4066696166992188e-05
price-000005,2.5033950805664062e-05
price-000006,1.7325083414713543e-05
price-000007,2.6861826578776043e-05
price-000008,2.562999725341797e-06
price-000009,1.5576680501302082e-05
price-000010,4.5994917551676435e-06
price-000011,1.2755393981933594e-05
price-000012,1.3510386149088541e-05
price-000013,3.5800039768218994e-06
price-000014,1.0728836059570312e-05
price-000015,2.384185791015625e-05
price-000016,2.3523966471354168e-05
price-000017,1.8676122029622395e-05
price-000018,2.3603439331054688e-05
price-000019,2.6623407999674478e-06
price-000020,1.4861424763997396e-05
price-000021,1.728534698486328e-05
price-000022,1.5497207641601562e-05
price-000023,1.3669331868489584e-05
price-000024,1.1841456095377604e-05
price-000025,1.148382822672526e-05
price-000026,2.002716064453125e-05
price-000027,5.016724268595378e-06
price-000028,4.947185516357422e-06
price-000029,5.513429641723633e-06
price-000030,2.773602803548177e-05
price-000031,2.8848648071289062e-05
price-000032,5.632638931274414e-06
price-000033,2.562999725341797e-06
price-000034,4.927317301432292e-06
price-000035,4.867712656656901e-06
price-000036,2.674261728922526e-05
price-000037,1.1841456095377604e-05
price-000038,2.6305516560872395e-05
price-000039,5.116065343221028e-06
price-000040,2.384185791015625e-05
price-000041,1.8676122029622395e-05
price-000042,1.243750254313151e-05
price-000043,1.5815099080403645e-05
price-000044,2.014636993408203e-05
price-000045,1.8914540608723957e-05
price-000046,2.7219454447428384e-06
price-000047,5.225340525309245e-06
price-000048,5.175669987996419e-06
price-000049,1.3868014017740885e-05
price-000050,1.998742421468099e-05
price-000051,1.9073486328125e-05
price-000052,1.5894571940104168e-05
price-000053,4.867712656656901e-06
price-000054,3.0517578125e-05
price-000055,4.827976226806641e-06
price-000056,1.8437703450520832e-05
price-000057,1.8835067749023438e-05
price-000058,1.71661376953125e-05
price-000059,2.2570292154947918e-05
price-000060,1.1920928955078125e-05
price-000061,1.529852549235026e-05
price-000062,2.6226043701171875e-06
price-000063,1.915295918782552e-05
price-000064,1.3192494710286459e-05
price-000065,2.642472585042318e-06
price-000066,2.781550089518229e-06
price-000067,2.6226043701171875e-06
price-000068,1.8914540608723957e-05
price-000069,3.1789143880208335e-06
price-000070,1.2238820393880209e-05
price-000071,2.288818359375e-05
price-000072,1.9431114196777344e-05
price-000073,1.9709269205729168e-05
price-000074,1.8278757731119793e-05
price-000075,1.8358230590820312e-05
price-000076,2.6623407999674478e-06
price-000077,2.642472585042318e-06
price-000078,1.1444091796875e-05
price-000079,1.185139020284017e-05
price-000080,1.3709068298339844e-05
price-000081,9.099642435709635e-06
price-000082,7.458031177520752e-06
price-000083,4.202127456665039e-06
price-000084,4.5100847880045576e-06
price-000085,3.4968058268229164e-05
price-000086,1.5149513880411785e-06
price-000087,1.52587890625e-05
price-000088,2.761681874593099e-06
price-000089,2.3245811462402344e-06
price-000090,4.976987838745117e-06
price-000091,1.3669331868489584e-05
price-000092,1.533826192220052e-05
price-000093,2.7020772298177085e-06
price-000094,4.907449086507161e-06
price-000095,4.669030507405599e-06
price-000096,6.834665934244792e-06
price-000097,2.6226043701171875e-05
price-000098,2.185503641764323e-05
price-000099,1.3470649719238281e-05
price-000100,2.7318795522054038e-06
