model_id,model_result
sinewave-000001,1.3907750447591146e-05
sinewave-000002,2.6226043701171875e-06
sinewave-000003,4.8478444417317706e-06
sinewave-000004,2.9702981313069663e-06
sinewave-000005,1.5179316202799479e-05
sinewave-000006,1.9351641337076824e-05
sinewave-000007,2.602736155192057e-06
sinewave-000008,3.5762786865234375e-06
sinewave-000009,1.1722246805826822e-05
sinewave-000010,1.3262033462524414e-06
sinewave-000011,2.6305516560872395e-05
sinewave-000012,1.533826192220052e-05
sinewave-000013,2.0503997802734375e-05
sinewave-000014,1.6848246256510418e-05
sinewave-000015,1.6371409098307293e-05
sinewave-000016,1.3192494710286459e-05
sinewave-000017,3.1391779581705728e-06
sinewave-000018,1.1046727498372396e-05
sinewave-000019,1.7642974853515625e-05
sinewave-000020,1.3659397761027019e-06
sinewave-000021,2.8312206268310547e-06
sinewave-000022,2.3285547892252605e-05
sinewave-000023,2.1616617838541668e-05
sinewave-000024,1.6689300537109375e-05
sinewave-000025,1.5934308369954426e-05
sinewave-000026,2.7418136596679688e-06
sinewave-000027,1.8914540608723957e-05
sinewave-000028,1.4503796895345053e-05
sinewave-000029,2.3444493611653645e-05
sinewave-000030,1.4146169026692709e-05
sinewave-000031,3.248453140258789e-06
sinewave-000032,4.589557647705078e-06
sinewave-000033,1.601378122965495e-05
sinewave-000034,1.9868214925130207e-05
sinewave-000035,1.5497207641601562e-05
sinewave-000036,1.2199083964029947e-05
sinewave-000037,2.2093454996744793e-05
sinewave-000038,2.0424524943033855e-05
sinewave-000039,1.9629796346028645e-05
sinewave-000040,2.2172927856445312e-05
sinewave-000041,7.772445678710938e-05
sinewave-000042,2.602736155192057e-06
sinewave-000043,4.9372514088948565e-06
sinewave-000044,1.617272694905599e-05
sinewave-000045,1.4940897623697916e-05
sinewave-000046,2.2729237874348957e-05
sinewave-000047,1.529852549235026e-05
sinewave-000048,1.4742215474446615e-05
sinewave-000049,4.5994917551676435e-06
sinewave-000050,5.205472310384114e-06
sinewave-000051,1.154343287150065e-05
sinewave-000052,1.4007091522216797e-06
sinewave-000053,2.002716064453125e-05
sinewave-000054,1.5179316202799479e-05
sinewave-000055,2.3365020751953125e-05
sinewave-000056,1.6530354817708332e-05
sinewave-000057,1.4106432596842447e-05
sinewave-000058,1.7523765563964844e-05
sinewave-000059,1.4702479044596354e-05
sinewave-000060,1.2715657552083334e-05
sinewave-000061,2.574920654296875e-05
sinewave-000062,2.4954477945963543e-05
sinewave-000063,1.4225641886393229e-05
sinewave-000064,1.903374989827474e-05
sinewave-000065,2.3444493611653645e-05
sinewave-000066,1.2516975402832031e-05
sinewave-000067,2.2411346435546875e-05
sinewave-000068,2.6623407999674478e-06
sinewave-000069,2.761681874593099e-06
sinewave-000070,2.5828679402669272e-06
sinewave-000071,2.602736155192057e-06
sinewave-000072,2.4080276489257812e-05
sinewave-000073,2.602736155192057e-06
sinewave-000074,2.761681874593099e-06
sinewave-000075,2.582867940266927e-05
sinewave-000076,1.4225641886393229e-05
sinewave-000077,2.010663350423177e-05
sinewave-000078,1.9590059916178387e-05
sinewave-000079,1.3828277587890625e-05
sinewave-000080,1.7801920572916668e-05
sinewave-000081,3.804763158162435e-06
sinewave-000082,1.7682711283365887e-05
sinewave-000083,1.9470850626627605e-05
sinewave-000084,1.1314948399861654e-05
sinewave-000085,1.430511474609375e-05
sinewave-000086,4.470348358154297e-06
sinewave-000087,1.5417734781901043e-05
sinewave-000088,1.994768778483073e-05
sinewave-000089,2.47955322265625e-05
sinewave-000090,5.5531660715738935e-06
sinewave-000091,5.543231964111328e-06
sinewave-000092,5.058944225311279e-06
sinewave-000093,2.5431315104166665e-06
sinewave-000094,1.1126200358072916e-05
sinewave-000095,2.5431315104166665e-06
sinewave-000096,1.3907750447591145e-06
sinewave-000097,3.66369883219401e-05
sinewave-000098,2.339482307434082e-06
sinewave-000099,2.102057139078776e-05
sinewave-000100,2.3126602172851562e-05
