nohup: ignoring input
2022-08-12 06:05:44.326703: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcudart.so.11.0'; dlerror: libcudart.so.11.0: cannot open shared object file: No such file or directory
2022-08-12 06:05:44.326746: I tensorflow/stream_executor/cuda/cudart_stub.cc:29] Ignore above cudart dlerror if you do not have a GPU set up on your machine.
2022-08-12 06:05:47.391181: W tensorflow/stream_executor/platform/default/dso_loader.cc:64] Could not load dynamic library 'libcuda.so.1'; dlerror: libcuda.so.1: cannot open shared object file: No such file or directory
2022-08-12 06:05:47.391226: W tensorflow/stream_executor/cuda/cuda_driver.cc:269] failed call to cuInit: UNKNOWN ERROR (303)
2022-08-12 06:05:47.391250: I tensorflow/stream_executor/cuda/cuda_diagnostics.cc:156] kernel driver does not appear to be running on this host (ubuntu): /proc/driver/nvidia/version does not exist
2022-08-12 06:05:47.391574: I tensorflow/core/platform/cpu_feature_guard.cc:142] This TensorFlow binary is optimized with oneAPI Deep Neural Network Library (oneDNN) to use the following CPU instructions in performance-critical operations:  AVX2 AVX512F FMA
To enable them in other operations, rebuild TensorFlow with the appropriate compiler flags.
random - 000001 :  3.337860107421875e-06
random - 000002 :  2.582867940266927e-05
random - 000003 :  1.6609827677408855e-05
random - 000004 :  3.711382548014323e-05
random - 000005 :  2.2649765014648438e-06
random - 000006 :  4.9869219462076826e-06
random - 000007 :  1.430511474609375e-05
random - 000008 :  5.791584650675456e-06
random - 000009 :  2.4239222208658855e-05
random - 000010 :  3.5762786865234375e-05
random - 000011 :  1.704692840576172e-05
random - 000012 :  2.6146570841471355e-05
random - 000013 :  3.417332967122396e-05
random - 000014 :  1.9550323486328125e-05
random - 000015 :  3.725290298461914e-06
random - 000016 :  3.258387247721354e-06
random - 000017 :  3.3974647521972656e-06
random - 000018 :  1.5695889790852864e-06
random - 000019 :  1.3113021850585938e-05
random - 000020 :  1.3907750447591146e-05
random - 000021 :  2.471605936686198e-05
random - 000022 :  2.5908152262369793e-05
random - 000023 :  3.429253896077474e-05
random - 000024 :  3.437201182047526e-06
random - 000025 :  3.3855438232421875e-05
random - 000026 :  1.9470850626627605e-05
random - 000027 :  2.1537144978841145e-05
random - 000028 :  3.2782554626464844e-06
random - 000029 :  1.3242165247599283e-05
random - 000030 :  6.159146626790364e-05
random - 000031 :  3.4769376118977866e-06
random - 000032 :  1.7444292704264324e-05
random - 000033 :  2.0821889241536457e-05
random - 000034 :  3.3775965372721353e-06
random - 000035 :  2.0265579223632812e-05
random - 000036 :  6.0498714447021484e-06
random - 000037 :  4.7047932942708336e-05
random - 000038 :  3.0994415283203125e-06
random - 000039 :  2.3682912190755207e-05
random - 000040 :  4.863739013671875e-05
random - 000041 :  1.9868214925130207e-05
random - 000042 :  1.7960866292317707e-05
random - 000043 :  3.3696492513020836e-05
random - 000044 :  1.5060106913248697e-05
random - 000045 :  2.3206075032552082e-05
random - 000046 :  3.3060709635416664e-05
random - 000047 :  2.9961268107096355e-05
random - 000048 :  2.0583470662434895e-05
random - 000049 :  2.491474151611328e-05
random - 000050 :  1.9391377766927082e-05
random - 000051 :  1.1642773946126303e-05
random - 000052 :  3.4968058268229165e-06
random - 000053 :  3.445148468017578e-05
random - 000054 :  4.4186909993489586e-05
random - 000055 :  1.9470850626627605e-05
random - 000056 :  5.5034955342610674e-06
random - 000057 :  1.4066696166992188e-05
random - 000058 :  3.77496083577474e-05
random - 000059 :  3.7829081217447914e-05
random - 000060 :  1.911322275797526e-05
random - 000061 :  3.4968058268229164e-05
random - 000062 :  4.1643778483072914e-05
random - 000063 :  2.9246012369791668e-05
random - 000064 :  3.814697265625e-05
random - 000065 :  3.1789143880208336e-05
random - 000066 :  3.4769376118977866e-06
random - 000067 :  2.2570292154947918e-05
random - 000068 :  2.757708231608073e-05
random - 000069 :  3.039836883544922e-05
random - 000070 :  2.296765645345052e-05
random - 000071 :  3.119309743245443e-06
random - 000072 :  1.911322275797526e-05
random - 000073 :  4.2438507080078125e-05
random - 000074 :  3.329912821451823e-05
random - 000075 :  1.5089909235636393e-05
random - 000076 :  2.364317576090495e-05
random - 000077 :  1.5576680501302082e-05
random - 000078 :  3.298123677571615e-05
random - 000079 :  2.0662943522135418e-05
random - 000080 :  3.719329833984375e-05
random - 000081 :  3.337860107421875e-05
random - 000082 :  3.977368275324504e-06
random - 000083 :  2.2097180287043255e-05
random - 000084 :  4.579623540242513e-06
random - 000085 :  5.245208740234375e-06
random - 000086 :  4.247824350992838e-05
random - 000087 :  1.3152758280436197e-05
random - 000088 :  1.5417734781901043e-05
random - 000089 :  1.3033548990885416e-05
random - 000090 :  2.3206075032552082e-05
random - 000091 :  1.5815099080403645e-05
random - 000092 :  2.7100245157877605e-05
random - 000093 :  1.52587890625e-05
random - 000094 :  7.291634877522786e-06
random - 000095 :  1.2993812561035156e-05
random - 000096 :  1.243750254313151e-05
random - 000097 :  1.2993812561035156e-05
random - 000098 :  2.4557113647460938e-05
random - 000099 :  1.2159347534179688e-05
random - 000100 :  2.2093454996744793e-05
random - 000101 :  1.9311904907226562e-05
random - 000102 :  1.7235676447550456e-06
random - 000103 :  1.9311904907226562e-05
random - 000104 :  1.7722447713216145e-05
random - 000105 :  2.9166539510091145e-05
random - 000106 :  2.5828679402669272e-06
random - 000107 :  6.516774495442708e-06
random - 000108 :  1.9232432047526043e-05
random - 000109 :  4.5100847880045576e-06
random - 000110 :  3.556410471598307e-06
random - 000111 :  5.3246815999348956e-06
random - 000112 :  3.4570693969726562e-06
