model_id,model_result
random-009379,1.86E-05
random-009380,3.75E-05
random-009381,1.61E-05
random-009382,1.76E-05
random-009383,1.28E-05
random-009384,5.57E-06
random-009385,1.93E-05
random-009386,6.60E-06
random-009387,2.50E-05
random-009388,2.17E-05
random-009389,2.55E-05
random-009390,4.13E-05
random-009391,1.24E-05
random-009392,1.78E-05
random-009393,2.37E-05
random-009394,3.54E-06
random-009395,2.05E-05
random-009396,4.83E-06
random-009397,3.68E-06
random-009398,1.28E-05
random-009399,1.55E-05
random-009400,4.71E-06
random-009401,1.30E-05
random-009402,1.29E-05
random-009403,2.26E-05
random-009404,5.25E-05
random-009405,3.20E-06
random-009406,1.06E-05
random-009407,2.05E-05
random-009408,1.46E-06
random-009409,1.65E-05
random-009410,3.68E-05
random-009411,4.05E-06
random-009412,4.47E-06
random-009413,1.61E-05
random-009414,3.58E-06
random-009415,1.50E-05
random-009416,3.48E-06
random-009417,2.52E-06
random-009418,6.04E-05
random-009419,3.01E-05
random-009420,4.22E-06
random-009421,3.36E-06
random-009422,5.85E-06
random-009423,2.52E-05
random-009424,2.64E-05
random-009425,1.14E-05
random-009426,1.71E-06
random-009427,1.06E-05
random-009428,2.26E-05
random-009429,2.28E-05
random-009430,1.88E-05
random-009431,4.39E-06
random-009432,3.15E-05
random-009433,8.30E-06
random-009434,5.01E-06
random-009435,5.12E-05
random-009436,3.30E-06
random-009437,3.34E-06
random-009438,4.56E-06
random-009439,1.74E-05
random-009440,1.81E-05
random-009441,4.48E-06
random-009442,2.97E-05
random-009443,2.16E-05
random-009444,2.04E-05
random-009445,4.69E-06
random-009446,5.52E-06
random-009447,3.34E-06
random-009448,2.96E-05
random-009449,3.19E-05
random-009450,2.68E-05
random-009451,3.26E-06
random-009452,2.23E-05
random-009453,7.11E-06
random-009454,2.46E-05
random-009455,3.40E-06
random-009456,1.21E-05
random-009457,3.04E-05
random-009458,1.58E-05
random-009459,2.76E-05
random-009460,1.80E-05
random-009461,3.25E-05
random-009462,1.34E-05
random-009463,1.57E-05
random-009464,2.24E-05
random-009465,5.01E-06
random-009466,3.41E-05
random-009467,3.31E-05
random-009468,1.77E-05
random-009469,4.58E-06
random-009470,1.11E-05
random-009471,3.45E-05
random-009472,2.05E-05
random-009473,6.89E-06
random-009474,2.14E-05
random-009475,2.90E-05
random-009476,1.62E-06
random-009477,3.45E-05
,6.03994E-05
