No,torch_tf_max_diff,torch_tf_mean_diff,torch_mindspore_max_diff,torch_mindspore_mean_diff,tf_mindspore_max_diff,tf_mindspore_mean_diff,avg_max_diff,avg_mean_diff,channels,model,fail_time
0,3.05E-05,2.33E-06,3.08E-05,2.40E-06,2.29E-05,5.77E-07,2.81E-05,1.77E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:6  from:1 to:2 operator:-1  ,0
1,2.44E-06,5.75E-07,2.38E-06,5.70E-07,3.34E-06,1.07E-07,2.72E-06,4.17E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
2,1.86E-05,1.23E-06,1.91E-05,1.24E-06,2.03E-05,2.45E-07,1.93E-05,9.04E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
3,2.53E-05,1.99E-06,2.57E-05,2.04E-06,2.22E-05,4.46E-07,2.44E-05,1.49E-06,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
4,2.38E-05,1.12E-06,2.38E-05,1.23E-06,4.24E-05,6.40E-07,3.00E-05,9.95E-07,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
5,2.32E-06,5.71E-07,2.32E-06,5.63E-07,3.40E-06,1.06E-07,2.68E-06,4.13E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
6,2.26E-06,5.40E-07,2.65E-06,5.36E-07,2.38E-06,1.37E-07,2.43E-06,4.04E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:1  from:1 to:2 operator:-1  ,0
7,5.01E-06,1.16E-06,5.13E-06,1.20E-06,5.42E-06,2.30E-07,5.19E-06,8.63E-07,0:1 1:1 2:1 ,from:0 to:1 operator:12  from:1 to:2 operator:-1  ,0
8,4.50E-06,6.51E-07,3.58E-06,7.55E-07,3.64E-06,3.95E-07,3.90E-06,6.00E-07,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
9,1.48E-05,1.43E-06,1.38E-05,1.54E-06,1.55E-05,7.60E-07,1.47E-05,1.24E-06,0:1 1:1 2:1 ,from:0 to:1 operator:7  from:1 to:2 operator:-1  ,0
10,1.53E-05,1.40E-06,1.53E-05,1.42E-06,1.62E-05,1.69E-07,1.56E-05,9.97E-07,0:1 1:1 2:1 ,from:0 to:1 operator:10  from:1 to:2 operator:-1  ,0
11,1.47E-05,1.60E-06,1.50E-05,1.60E-06,1.61E-05,1.97E-07,1.53E-05,1.13E-06,0:1 1:1 2:1 ,from:0 to:1 operator:10  from:1 to:2 operator:-1  ,0
12,1.45E-05,1.42E-06,1.45E-05,1.41E-06,1.23E-05,1.74E-07,1.38E-05,9.99E-07,0:1 1:1 2:1 ,from:0 to:1 operator:10  from:1 to:2 operator:-1  ,0
13,2.00E-05,1.50E-06,1.96E-05,1.49E-06,1.75E-05,2.39E-07,1.90E-05,1.08E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
14,1.22E-05,1.10E-06,1.22E-05,1.11E-06,9.66E-06,1.39E-07,1.13E-05,7.82E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:10  ,0
15,1.74E-05,1.12E-06,1.26E-05,1.14E-06,1.41E-05,2.03E-07,1.47E-05,8.23E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
16,2.22E-05,1.37E-06,2.22E-05,1.33E-06,3.17E-05,3.21E-07,2.54E-05,1.01E-06,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
17,4.83E-06,1.16E-06,4.71E-06,1.18E-06,6.11E-06,3.88E-07,5.22E-06,9.09E-07,0:1 1:1 2:2 ,from:0 to:1 operator:-1  from:0 to:2 operator:-1  from:1 to:2 operator:-1  ,0
18,4.53E-06,1.02E-06,4.71E-06,1.04E-06,5.66E-06,2.75E-07,4.97E-06,7.78E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:11  ,0
19,2.50E-06,5.52E-07,2.44E-06,5.40E-07,3.46E-06,1.43E-07,2.80E-06,4.12E-07,0:1 1:1 2:1 ,from:0 to:1 operator:10  from:1 to:2 operator:-1  ,0
20,2.15E-05,2.14E-06,2.12E-05,2.08E-06,2.24E-05,2.58E-07,2.17E-05,1.49E-06,0:1 1:1 2:1 ,from:0 to:1 operator:10  from:1 to:2 operator:-1  ,0
21,1.79E-05,1.28E-06,1.72E-05,1.28E-06,3.17E-05,3.87E-07,2.23E-05,9.80E-07,0:1 1:1 2:1 ,from:0 to:1 operator:-1  from:1 to:2 operator:-1  ,0
